"CURRENCYID","ISALTERED","ISFIRSTED","ISFOIL","ISPLAYSET","ISSIGNED","LANGUAGEID","LANGUAGENAME","PRICE","PRODUCTID"
"1","false","","false","false","false","1","English","0.99","557506"
"1","false","","false","false","false","1","English","0.12","364151"
"1","false","","false","false","false","1","English","0.25","536903"
"1","false","","false","false","false","1","English","0.14","496010"
"1","false","","false","false","false","1","English","0.15","514005"
"1","false","","false","false","false","1","English","0.99","294779"
"1","false","","false","false","false","1","English","0.15","400454"
"1","false","","false","false","false","1","English","4.99","548326"
"1","false","","false","false","false","1","English","0.99","360239"
"1","false","","false","false","false","1","English","0.25","502895"
"1","false","","false","false","false","1","English","0.99","315382"
"1","false","","false","false","false","1","English","0.99","315434"
"1","false","","false","false","false","1","English","0.25","376617"
"1","false","","false","false","false","1","English","0.12","495384"
"1","false","","false","false","false","5","Italian","0.2","374565"
"1","false","","false","false","false","1","English","0.15","379173"
"1","false","","false","false","false","1","English","0.05","359613"
"1","false","","false","false","false","1","English","0.45","546761"
"1","false","","false","false","false","1","English","0.15","530957"
"1","false","","false","false","false","1","English","0.14","429246"
"1","false","","false","false","false","1","English","0.99","355388"
"1","false","","false","false","false","1","English","0.99","301403"
"1","false","","false","false","false","1","English","0.15","379590"
"1","false","","false","false","false","1","English","2.5","261501"
"1","false","","false","false","false","1","English","0.15","532052"
"1","false","","false","false","false","1","English","0.1","451883"
"1","false","","false","false","false","5","Italian","0.2","375660"
"1","false","","false","false","false","1","English","0.15","364203"
"1","false","","false","false","false","1","English","0.34","556932"
"1","false","","false","false","false","1","English","0.12","364255"
"1","false","","false","false","false","1","English","0.15","379434"
"1","false","","false","false","false","1","English","0.99","289198"
"1","false","","false","false","false","1","English","0.1","360187"
"1","false","","false","false","false","1","English","0.99","547126"
"1","false","","false","false","false","1","English","7.99","486204"
"1","false","","false","false","false","1","English","0.99","355440"
"1","false","","true","false","false","1","English","0.75","556504"
"1","false","","false","false","false","1","English","0.99","284451"
"1","false","","false","false","false","1","English","0.15","545196"
"1","false","","false","false","false","1","English","0.45","557350"
"1","false","","false","false","false","1","English","0.99","315278"
"1","false","","false","false","false","1","English","0.99","284816"
"1","false","","false","false","false","1","English","0.99","254668"
"1","false","","false","false","false","1","English","6.4","512910"
"1","false","","false","false","false","1","English","0.34","530852"
"1","false","","false","false","false","1","English","0.1","455273"
"1","false","","false","false","false","1","English","0.12","364308"
"1","false","","false","false","false","5","Italian","0.1","245783"
"1","false","","false","false","false","1","English","0.99","289146"
"1","false","","false","false","false","1","English","0.2","375105"
"1","false","","false","false","false","7","Japanese","11.95","10926"
"1","false","","true","false","false","1","English","0.15","364297"
"1","false","","false","false","false","1","English","0.2","512805"
"1","false","","false","false","false","1","English","0.99","298795"
"1","false","","false","false","false","5","Italian","0.2","375087"
"1","false","","false","false","false","1","English","0.99","319815"
"1","false","","false","false","false","1","English","6.45","548221"
"1","false","","false","false","false","1","English","0.25","376722"
"1","false","","false","false","false","1","English","0.1","371870"
"1","false","","false","false","false","1","English","0.99","355441"
"1","false","","false","false","false","1","English","0.49","556463"
"1","false","","false","false","false","1","English","0.2","544831"
"1","false","","false","false","false","1","English","0.15","512180"
"1","false","","false","false","false","1","English","0.99","297178"
"1","false","","false","false","false","1","English","0.99","284921"
"1","false","","false","false","false","1","English","0.99","264266"
"1","false","","false","false","false","1","English","0.14","557349"
"1","false","","false","false","false","1","English","0.99","301299"
"1","false","","false","false","false","1","English","0.99","288676"
"1","false","","false","false","false","1","English","0.24","371975"
