"CURRENCYID","ISALTERED","ISFIRSTED","ISFOIL","ISPLAYSET","ISSIGNED","LANGUAGEID","LANGUAGENAME","PRICE","PRODUCTID"
"1","false","","false","false","false","1","English","0.2","258476"
"1","false","","false","false","false","1","English","0.3","415841"
"1","false","","true","false","false","1","English","0.7","290439"
"1","false","","false","false","false","1","English","2.4","339"
"1","false","","true","false","false","1","English","10","20879"
"1","false","","false","false","false","1","English","0.3","400454"
"1","false","","true","false","false","1","English","0.45","17906"
"1","false","","false","false","false","1","English","0.4","513640"
"1","false","","false","false","false","1","English","0.2","248044"
"1","false","","false","false","false","1","English","0.6","429246"
"1","false","","false","false","false","1","English","0.25","2321"
"1","false","","true","false","false","1","English","2.6","21870"
"1","false","","false","false","false","1","English","0.25","11762"
"1","false","","false","false","false","1","English","0.25","20681"
"1","false","","false","false","false","1","English","4.6","301664"
"1","false","","true","false","false","1","English","3.8","11960"
"1","false","","true","false","false","1","English","25","426471"
"1","false","","false","false","false","1","English","0.3","296709"
"1","false","","false","false","false","1","English","0.25","10771"
"1","false","","false","false","false","1","English","0.2","21672"
"1","false","","false","false","false","1","English","0.3","420796"
"1","false","","false","false","false","1","English","0.25","294205"
"1","false","","false","false","false","1","English","0.9","291754"
"1","false","","true","false","false","5","Italian","14","248641"
"1","false","","false","false","false","1","English","0.35","6285"
"1","false","","false","false","false","1","English","0.5","250548"
"1","false","","true","false","false","1","English","2","300349"
"1","false","","false","false","false","1","English","0.2","259989"
"1","false","","false","false","false","1","English","9.6","372131"
"1","false","","false","false","false","1","English","1.2","301195"
"1","false","","true","false","false","1","English","0.45","291952"
"1","false","","false","false","false","1","English","0.2","1852"
"1","false","","false","false","false","1","English","0.25","498775"
"1","false","","true","false","false","1","English","0.3","294872"
"1","false","","false","false","false","1","English","0.5","391482"
"1","false","","false","false","false","1","English","0.6","240638"
"1","false","","true","false","false","1","English","1.5","327159"
"1","false","","false","false","false","1","English","0.25","2843"
"1","false","","false","false","false","1","English","0.7","422256"
"1","false","","false","false","false","1","English","0.5","293683"
"1","false","","true","false","false","1","English","1.6","241827"
"1","false","","true","false","false","4","Spanish","6","451043"
"1","false","","true","false","false","1","English","0.35","355429"
"1","false","","true","false","false","1","English","7.4","514360"
"1","false","","false","false","false","1","English","0.5","21150"
"1","false","","true","false","false","1","English","1","471119"
"1","false","","false","false","false","1","English","0.25","10249"
"1","false","","true","false","false","1","English","0.45","453228"
"1","false","","true","false","false","1","English","0.45","401174"
"1","false","","false","false","false","1","English","0.7","454543"
"1","false","","true","false","false","1","English","1.6","468199"
"1","false","","true","false","false","1","English","1.7","11438"
"1","false","","false","false","false","1","English","3.4","12753"
"1","false","","false","false","false","1","English","0.2","257016"
"1","false","","true","false","false","1","English","3.4","371807"
"1","false","","true","false","false","1","English","0.4","254710"
"1","false","","false","false","false","1","English","0.2","360292"
