"CURRENCYID","ISALTERED","ISFIRSTED","ISFOIL","ISPLAYSET","ISSIGNED","LANGUAGEID","LANGUAGENAME","PRICE","PRODUCTID"
"1","false","","true","false","false","1","English","0.25","319231"
"1","false","","false","false","false","3","German","0.25","283572"
"1","false","","false","false","false","1","English","0.25","258476"
"1","false","","false","false","false","1","English","0.25","415841"
"1","false","","false","false","false","1","English","0.25","400454"
"1","false","","false","false","false","1","English","0.25","360239"
"1","false","","false","false","false","3","German","0.25","14012"
"1","false","","false","false","false","3","German","0.99","271158"
"1","false","","false","false","false","1","English","0.25","376617"
"1","false","","true","false","false","3","German","0.25","361696"
"1","false","","false","false","false","1","English","0.49","513640"
"1","false","","false","false","false","1","English","0.25","242098"
"1","false","","true","false","false","1","English","0.25","558017"
"1","false","","false","false","false","1","English","0.25","248044"
"1","false","","false","false","false","1","English","5.99","529027"
"1","false","","false","false","false","3","German","0.25","267194"
"1","false","","false","false","false","1","English","0.25","432219"
"1","false","","false","false","false","1","English","0.25","429246"
"1","false","","false","false","false","3","German","0.25","264221"
"1","false","","false","false","false","1","English","1.05","14735"
"1","false","","false","false","false","1","English","0.25","11762"
"1","false","","false","false","false","1","English","0.25","20681"
"1","false","","false","false","false","1","English","0.25","379590"
"1","false","","false","false","false","1","English","0.25","296709"
"1","false","","false","false","false","3","German","0.25","392272"
"1","false","","false","false","false","1","English","0.25","364203"
"1","false","","false","false","false","3","German","0.25","19958"
"1","false","","true","false","false","1","English","1.49","443318"
"1","false","","false","false","false","1","English","0.25","420796"
"1","false","","true","false","false","1","English","0.25","543621"
"1","false","","false","false","false","3","German","0.49","514899"
"1","false","","true","false","false","3","German","0.5","259933"
"1","false","","true","false","false","1","English","0.25","13420"
"1","false","","false","false","false","3","German","0.25","13021"
"1","false","","false","false","false","3","German","0.49","9526"
"1","false","","true","false","false","1","English","0.49","556504"
"1","false","","true","false","false","1","English","8.99","484524"
"1","false","","false","false","false","1","English","0.99","419336"
"1","false","","true","false","false","1","English","1.68","300349"
"1","false","","false","false","false","1","English","0.99","558810"
"1","false","","false","false","false","3","German","0.25","18967"
"1","false","","false","false","false","1","English","0.25","358726"
