"CURRENCYID","ISALTERED","ISFIRSTED","ISFOIL","ISPLAYSET","ISSIGNED","LANGUAGEID","LANGUAGENAME","PRICE","PRODUCTID"
"1","false","","false","false","false","5","Italian","0.09","291162"
"1","false","","false","false","false","1","English","0.14","415841"
"1","false","","false","false","false","1","English","0.24","400454"
"1","false","","false","false","false","5","Italian","0.09","364133"
"1","false","","false","false","false","5","Italian","2.29","22593"
"1","false","","true","false","false","1","English","1.49","451768"
"1","false","","false","false","false","5","Italian","0.14","374565"
"1","false","","true","false","false","5","Italian","0.99","269505"
"1","false","","false","false","false","1","English","0.21","513640"
"1","false","","false","false","false","5","Italian","11.52","368097"
"1","false","","true","false","false","5","Italian","0.29","284892"
"1","false","","false","false","false","1","English","0.39","429246"
"1","false","","false","false","false","5","Italian","0.99","3242"
"1","false","","false","false","false","5","Italian","0.29","12161"
"1","false","","false","false","false","5","Italian","0.49","6215"
"1","false","","false","false","false","1","English","3.99","301664"
"1","false","","false","false","false","1","English","0.49","296709"
"1","false","","false","false","false","1","English","0.49","10771"
"1","false","","false","false","false","5","Italian","0.69","11170"
"1","false","","false","false","false","1","English","0.14","420796"
"1","false","","false","false","false","5","Italian","0.29","13674"
"1","false","","true","false","false","5","Italian","0.39","12359"
"1","false","","false","false","false","5","Italian","0.49","1729"
"1","false","","false","false","false","1","English","2.49","291754"
"1","false","","false","false","false","5","Italian","0.49","8719"
"1","false","","false","false","false","5","Italian","0.29","738"
"1","false","","true","false","false","1","English","1.99","300349"
"1","false","","true","false","false","7","Japanese","14.99","254187"
"1","false","","false","false","false","1","English","0.09","259989"
"1","false","","false","false","false","1","English","0.99","301195"
"1","false","","false","false","false","5","Italian","0.99","292675"
"1","false","","false","false","false","5","Italian","0.49","19151"
"1","false","","true","false","false","1","English","0.79","291952"
"1","false","","false","false","false","5","Italian","0.14","264821"
"1","false","","false","false","false","5","Italian","1.19","453013"
"1","false","","true","false","false","5","Italian","1.99","284370"
"1","false","","true","false","false","1","English","0.29","294872"
"1","false","","false","false","false","1","English","1.49","391482"
"1","false","","false","false","false","1","English","0.99","240638"
"1","false","","false","false","false","5","Italian","0.14","293666"
"1","false","","true","false","false","1","English","1.99","327159"
"1","false","","false","false","false","5","Italian","0.14","375087"
"1","false","","false","false","false","5","Italian","0.21","470329"
"1","false","","false","false","false","1","English","0.49","293683"
"1","false","","true","false","false","1","English","0.29","355429"
"1","false","","true","false","false","1","English","4.91","514360"
"1","false","","false","false","false","1","English","0.29","21150"
"1","false","","true","false","false","1","English","0.99","471119"
"1","false","","false","false","false","1","English","0.49","10249"
"1","false","","true","false","false","1","English","0.31","453228"
"1","false","","true","false","false","1","English","0.99","401174"
"1","false","","false","false","false","1","English","0.22","454543"
"1","false","","true","false","false","5","Italian","2.49","375285"
"1","false","","false","false","false","5","Italian","0.24","400384"
"1","false","","false","false","false","5","Italian","0.29","2251"
"1","false","","true","false","false","5","Italian","0.3","292873"
"1","false","","false","false","false","5","Italian","0.49","9657"
"1","false","","false","false","false","1","English","0.09","257016"
"1","false","","true","false","false","1","English","2.99","371807"
"1","false","","false","false","false","5","Italian","0.29","432149"
"1","false","","false","false","false","5","Italian","0.49","9241"
"1","false","","true","false","false","5","Italian","0.29","355412"
"1","false","","false","false","false","5","Italian","0.49","262317"
"1","false","","false","false","false","1","English","0.09","360292"
"1","false","","false","false","false","1","English","0.14","531062"
"1","false","","true","false","false","1","English","0.49","432364"
"1","false","","false","false","false","1","English","0.15","287215"
"1","false","","true","false","false","3","German","3.99","254925"
"1","false","","false","false","false","1","English","0.49","261502"
"1","false","","false","false","false","5","Italian","0.99","391987"
"1","false","","true","false","false","5","Italian","0.19","293289"
"1","false","","false","false","false","1","English","0.14","375573"
"1","false","","false","false","false","5","Italian","0.49","19567"
"1","false","","true","false","false","5","Italian","0.29","495930"
"1","false","","false","false","false","5","Italian","0.09","289233"
"1","false","","false","false","false","1","English","1.49","13797"
"1","false","","false","false","false","1","English","0.99","19743"
"1","false","","false","false","false","5","Italian","0.14","372530"
"1","false","","true","false","false","5","Italian","0.49","401104"
"1","false","","false","false","false","1","English","0.69","9311"
"1","false","","false","false","false","5","Italian","0.99","11639"
"1","false","","false","false","false","5","Italian","0.14","455048"
"1","false","","false","false","false","5","Italian","0.29","300550"
"1","false","","false","false","false","1","English","0.69","392057"
"1","false","","false","false","false","5","Italian","0.19","15081"
"1","false","","false","false","false","5","Italian","0.11","2773"
"1","false","","false","false","false","1","English","0.39","484379"
"1","false","","false","false","false","1","English","0.69","21256"
"1","false","","true","false","false","1","English","1.29","315320"
"1","false","","false","false","false","5","Italian","1.49","9135"
"1","false","","false","false","false","1","English","0.14","422831"
"1","false","","false","false","false","5","Italian","0.14","322"
"1","false","","true","false","false","5","Italian","9.99","294802"
"1","false","","false","false","false","1","English","0.14","471859"
"1","false","","false","false","false","5","Italian","0.89","250478"
"1","false","","false","false","false","1","English","0.14","417301"
"1","false","","true","false","false","1","English","0.39","291846"
"1","false","","false","false","false","5","Italian","4.99","361735"
"1","false","","false","false","false","5","Italian","0.14","264927"
"1","false","","true","false","false","1","English","0.99","374364"
"1","false","","false","false","false","1","English","0.69","808"
"1","false","","false","false","false","1","English","1.29","319502"
"1","false","","false","false","false","1","English","0.32","372237"
"1","false","","false","false","false","5","Italian","0.19","14090"
"1","false","","true","false","false","1","English","0.79","366852"
"1","false","","false","false","false","5","Italian","0.09","359594"
"1","false","","false","false","false","5","Italian","0.49","21080"
"1","false","","false","false","false","5","Italian","1.98","453898"
"1","false","","false","false","false","1","English","0.09","297231"
"1","false","","false","false","false","5","Italian","0.09","258459"
"1","false","","false","false","false","5","Italian","0.14","13099"
"1","false","","true","false","false","1","English","0.49","298836"
"1","false","","false","false","false","1","English","0.49","242673"
"1","false","","false","false","false","5","Italian","0.14","297214"
"1","false","","true","false","false","5","Italian","0.49","371843"
"1","false","","false","false","false","5","Italian","2.23","430114"
"1","false","","false","false","false","1","English","0.09","364256"
"1","false","","false","false","false","1","English","0.19","290241"
"1","false","","false","false","false","1","English","0.11","298222"
"1","false","","false","false","false","1","English","0.19","368583"
"1","false","","false","false","false","1","English","0.19","314025"
"1","false","","true","false","false","5","Italian","7.99","268045"
"1","false","","true","false","false","1","English","0.31","451193"
"1","false","","false","false","false","5","Italian","0.49","8613"
"1","false","","false","false","false","5","Italian","0.09","368566"
"1","false","","false","false","false","1","English","0.29","14788"
"1","false","","false","false","false","1","English","0.36","533097"
"1","false","","true","false","false","5","Italian","4.99","282025"
"1","false","","false","false","false","5","Italian","0.99","375450"
"1","false","","false","false","false","5","Italian","0.99","3136"
"1","false","","false","false","false","1","English","0.49","300567"
"1","false","","false","false","false","1","English","0.14","431334"
"1","false","","false","false","false","5","Italian","1.99","8303"
"1","false","","false","false","false","5","Italian","0.49","245886"
"1","false","","false","false","false","1","English","0.99","378705"
"1","false","","true","false","false","5","Italian","3.99","271593"
