"CURRENCYID","ISALTERED","ISFIRSTED","ISFOIL","ISPLAYSET","ISSIGNED","LANGUAGEID","LANGUAGENAME","PRICE","PRODUCTID"
"1","false","","false","false","false","1","English","0.28","495019"
"1","false","","true","false","false","1","English","0.48","319231"
"1","false","","false","false","false","1","English","0.28","266665"
"1","false","","true","false","false","1","English","0.28","368626"
"1","false","","false","false","false","1","English","0.48","496010"
"1","false","","true","false","false","3","German","0.28","273338"
"1","false","","true","false","false","1","English","0.48","242035"
"1","false","","false","false","false","3","German","0.28","262969"
"1","false","","false","false","false","1","English","0.28","3312"
"1","false","","true","false","false","1","English","0.28","267854"
"1","false","","true","false","false","3","German","0.7","16192"
"1","false","","false","false","false","1","English","0.43","21933"
"1","false","","false","false","false","3","German","0.43","15003"
"1","false","","false","false","false","3","German","1.48","293743"
"1","false","","false","false","false","1","English","0.28","12492"
"1","false","","false","false","false","1","English","0.48","513640"
"1","false","","false","false","false","1","English","0.28","290502"
"1","false","","false","false","false","1","English","0.28","242098"
"1","false","","false","false","false","3","German","0.28","9057"
"1","false","","false","false","false","1","English","4.48","301664"
"1","false","","false","false","false","1","English","0.28","301403"
"1","false","","false","false","false","3","German","11.98","270428"
"1","false","","false","false","false","1","English","0.28","296709"
"1","false","","false","false","false","1","English","0.28","364203"
"1","false","","false","false","false","1","English","0.28","300412"
"1","false","","false","false","false","3","German","0.48","298698"
"1","false","","true","false","false","3","German","0.28","273077"
"1","false","","false","false","false","3","German","0.28","19958"
"1","false","","false","false","false","1","English","0.28","18960"
"1","false","","false","false","false","1","English","0.28","294205"
"1","false","","true","false","false","1","English","0.48","301601"
"1","false","","true","false","false","3","German","0.98","296653"
"1","false","","false","false","false","1","English","0.98","291754"
"1","false","","false","false","false","1","English","0.28","376878"
"1","false","","false","false","false","1","English","0.28","291962"
"1","false","","false","false","false","3","German","0.43","9318"
"1","false","","true","false","false","1","English","0.28","372121"
"1","false","","false","false","false","1","English","0.43","270629"
"1","false","","false","false","false","1","English","0.43","12231"
"1","false","","true","false","false","1","English","0.28","267332"
"1","false","","false","false","false","1","English","0.78","286016"
"1","false","","false","false","false","1","English","0.28","283565"
"1","false","","true","false","false","1","English","0.28","251945"
"1","false","","false","false","false","1","English","0.28","366968"
"1","false","","false","false","false","1","English","0.28","273394"
"1","false","","false","false","false","1","English","0.78","372184"
"1","false","","true","false","false","1","English","0.28","291899"
"1","false","","false","false","false","1","English","0.28","264161"
"1","false","","true","false","false","1","English","0.78","510135"
"1","false","","false","false","false","4","Spanish","0.49","256760"
"1","false","","true","false","false","1","English","0.28","273331"
"1","false","","false","false","false","1","English","0.28","282782"
