"CURRENCYID","ISALTERED","ISFIRSTED","ISFOIL","ISPLAYSET","ISSIGNED","LANGUAGEID","LANGUAGENAME","PRICE","PRODUCTID"
"1","false","","false","false","false","3","German","0.2","283572"
"1","false","","false","false","false","1","English","0.04","258476"
"1","false","","false","true","false","1","English","0.02","269453"
"1","false","","false","false","false","4","Spanish","0.05","256291"
"1","false","","false","false","false","1","English","0.08","376617"
"1","false","","false","false","false","1","English","0.14","513640"
"1","false","","false","false","false","4","Spanish","0.09","136"
"1","false","","true","false","false","4","Spanish","0.1","296704"
"1","false","","false","false","false","1","English","0.11","242098"
"1","false","","false","false","false","1","English","0.09","248044"
"1","false","","false","false","false","11","T-Chinese","0.07","2261"
"1","false","","false","false","false","1","English","0.16","429246"
"1","false","","false","true","false","4","Spanish","0.02","247917"
"1","false","","false","false","false","4","Spanish","0.1","362018"
"1","false","","false","false","false","4","Spanish","0.09","247372"
"1","false","","false","false","false","1","English","0.02","379590"
"1","false","","false","false","false","1","English","0.13","296709"
"1","false","","false","false","false","1","English","0.06","364203"
"1","false","","false","false","false","1","English","0.25","294205"
"1","false","","false","false","false","7","Japanese","0.1","284816"
"1","false","","false","false","false","8","Portuguese","0.19","2283"
"1","false","","false","false","false","6","S-Chinese","0.06","21880"
"1","false","","false","false","false","4","Spanish","0.14","13541"
"1","false","","false","false","false","4","Spanish","0.15","300470"
"1","false","","false","false","false","1","English","0.05","358726"
"1","false","","false","false","false","1","English","0.1","487299"
"1","false","","false","false","false","1","English","0.06","273394"
"1","false","","false","false","false","4","Spanish","0.1","283623"
"1","false","","false","false","false","1","English","0.2","272403"
"1","false","","true","false","false","1","English","0.15","291952"
"1","false","","false","false","false","1","English","0.05","298169"
"1","false","","false","false","false","1","English","0.05","282782"
"1","false","","false","false","false","1","English","0.18","391482"
"1","false","","false","false","false","4","Spanish","0.41","273138"
"1","false","","false","false","false","5","Italian","0.35","15134"
"1","false","","false","true","false","1","English","0.02","264029"
"1","false","","false","false","false","4","Spanish","0.04","247841"
"1","false","","false","false","false","7","Japanese","0.25","258475"
"1","false","","true","false","false","1","English","0.11","355429"
"1","false","","false","false","false","1","English","0.2","466019"
"1","false","","false","true","false","1","English","0.4","265020"
"1","false","","false","false","false","1","English","0.04","512180"
"1","false","","false","false","false","1","English","0.14","454543"
"1","false","","false","false","false","1","English","0.05","297178"
"1","false","","false","false","false","4","Spanish","0.99","251336"
"1","false","","false","false","false","1","English","0.1","261918"
"1","false","","false","false","false","1","English","0.21","319555"
"1","false","","false","false","false","7","Japanese","0.2","290240"
"1","false","","false","false","false","7","Japanese","0.09","282834"
"1","false","","false","false","false","1","English","0.05","257016"
"1","false","","false","false","false","3","German","0.05","258222"
"1","false","","true","false","false","4","Spanish","1.49","298686"
"1","false","","false","false","false","3","German","0.25","6553"
"1","false","","false","false","false","4","Spanish","0.2","256238"
"1","false","","false","false","false","1","English","0.03","375573"
"1","false","","false","true","false","1","English","0.02","273364"
"1","false","","false","false","false","4","Spanish","0.35","251389"
"1","false","","false","false","false","4","Spanish","0.09","372503"
"1","false","","false","false","false","4","Spanish","0.31","288994"
"1","false","","false","false","false","1","English","0.1","297753"
"1","false","","false","false","false","4","Spanish","0.07","361965"
"1","false","","false","false","false","1","English","0.88","294258"
"1","false","","false","false","false","1","English","0.16","392057"
"1","false","","false","false","false","5","Italian","0.13","15081"
"1","false","","true","false","false","1","English","0.25","358402"
"1","false","","false","false","false","4","Spanish","1","271156"
"1","false","","true","false","false","7","Japanese","0.1","371912"
"1","false","","false","false","false","1","English","0.09","473894"
"1","false","","false","false","false","1","English","0.17","372078"
"1","false","","false","false","false","4","Spanish","0.08","269174"
"1","false","","true","false","false","1","English","0.25","260081"
"1","false","","true","false","false","3","German","0.13","287212"
"1","false","","false","false","false","1","English","0.08","273288"
"1","false","","false","false","false","1","English","0.05","285755"
"1","false","","true","false","false","1","English","0.1","291846"
"1","false","","false","false","false","1","English","0.14","284764"
"1","false","","false","false","false","1","English","0.08","260980"
"1","false","","true","false","false","7","Japanese","2","284908"
"1","false","","false","false","false","7","Japanese","0.06","282781"
"1","false","","false","true","false","1","English","0.02","301634"
"1","false","","false","false","false","1","English","0.4","319502"
"1","false","","true","false","false","4","Spanish","0.9","297226"
"1","false","","false","false","false","1","English","0.12","261971"
"1","false","","false","false","false","4","Spanish","0.07","290976"
"1","false","","false","false","false","1","English","0.3","361752"
"1","false","","false","false","false","1","English","0.04","510145"
"1","false","","false","false","false","2","French","0.4","293568"
"1","false","","false","false","false","4","Spanish","0.08","291135"
"1","false","","false","false","false","1","English","0.05","293736"
"1","false","","false","false","false","1","English","0.07","19115"
"1","false","","true","false","false","1","English","0.99","313807"
"1","false","","false","false","false","1","English","0.05","496165"
"1","false","","false","false","false","1","English","0.02","364256"
"1","false","","false","false","false","1","English","0.05","290241"
"1","false","","false","false","false","4","Spanish","1.24","245390"
"1","false","","false","false","false","1","English","0.09","298222"
"1","false","","false","false","false","1","English","0.1","247991"
"1","false","","false","false","false","4","Spanish","2.06","512030"
"1","false","","true","false","false","1","English","0.14","451193"
"1","false","","false","false","false","1","English","1.28","453083"
"1","false","","true","false","false","7","Japanese","0.25","290385"
"1","false","","false","false","false","11","T-Chinese","0.19","2367"
"1","false","","false","false","false","1","English","0.1","504305"
"1","false","","false","false","false","1","English","0.08","256388"
"1","false","","false","false","false","1","English","0.03","313972"
"1","false","","false","false","false","1","English","0.05","261555"
"1","false","","false","true","false","1","English","0.55","257145"
"1","false","","false","false","false","1","English","0.38","378705"
"1","false","","false","false","false","10","Korean","0.5","269399"
"1","false","","false","true","false","1","English","0.02","22633"
"1","false","","true","false","false","1","English","0.1","430329"
"1","false","","true","false","false","1","English","0.11","287360"
"1","false","","false","false","false","1","English","0.06","258370"
