"CURRENCYID","ISALTERED","ISFIRSTED","ISFOIL","ISPLAYSET","ISSIGNED","LANGUAGEID","LANGUAGENAME","PRICE","PRODUCTID"
"1","false","","false","false","false","1","English","0.33","495019"
"1","false","","true","false","false","1","English","0.5","319231"
"1","false","","false","false","false","3","German","0.33","455333"
"1","false","","false","false","false","3","German","0.33","497530"
"1","false","","false","false","false","9","Russian","0.33","368628"
"1","false","","true","false","false","3","German","0.5","471909"
"1","false","","true","false","false","1","English","0.5","368626"
"1","false","","false","false","false","1","English","800","16717"
"1","false","","false","false","false","1","English","0.33","496010"
"1","false","","true","false","false","1","English","0.5","470389"
"1","false","","false","false","false","3","German","0.33","510935"
"1","false","","false","false","false","1","English","0.4","415841"
"1","false","","false","false","false","1","English","0.33","453813"
"1","false","","false","false","false","1","English","0.33","400454"
"1","false","","false","false","false","1","English","0.33","360239"
"1","false","","true","false","false","1","English","1.33","451768"
"1","false","","false","false","false","1","English","0.39","312826"
"1","false","","false","false","false","3","German","0.33","379389"
"1","false","","false","false","false","1","English","0.33","468209"
"1","false","","false","false","false","1","English","0.33","429246"
"1","false","","false","false","false","1","English","0.33","432219"
"1","false","","true","false","false","7","Japanese","0.99","484054"
"1","false","","false","false","false","1","English","0.33","431489"
"1","false","","false","false","false","3","German","0.33","360507"
"1","false","","false","false","false","3","German","0.33","454603"
"1","false","","false","false","false","1","English","0.33","379590"
"1","false","","false","false","false","1","English","0.33","486569"
"1","false","","true","false","false","5","Italian","89.99","936"
"1","false","","true","false","false","3","German","0.5","513845"
"1","false","","false","false","false","3","German","0.4","392272"
"1","false","","false","false","false","1","English","0.33","364203"
"1","false","","true","false","false","1","English","0.56","443318"
"1","false","","false","false","false","1","English","0.4","420796"
"1","false","","false","false","false","1","English","0.33","360500"
"1","false","","true","false","false","1","English","0.5","301601"
"1","false","","true","false","false","1","English","4.44","430174"
"1","false","","true","false","false","3","German","0.5","432424"
"1","false","","false","false","false","1","English","0.33","376878"
"1","false","","true","false","false","1","English","0.5","379527"
"1","false","","true","false","false","1","English","0.5","372121"
"1","false","","false","false","false","1","English","0.49","504460"
"1","false","","true","false","false","3","German","0.5","471179"
"1","false","","true","false","false","1","English","3.22","484524"
"1","false","","false","false","false","1","English","0.59","419336"
"1","false","","false","false","false","3","German","0.33","360246"
"1","false","","true","false","false","3","German","0.5","430234"
"1","false","","false","false","false","3","German","0.33","375633"
"1","false","","false","false","false","1","English","0.33","366968"
"1","false","","false","false","false","3","German","0.33","432279"
"1","false","","false","false","false","1","English","0.4","421526"
"1","false","","false","false","false","1","English","0.5","264161"
"1","false","","true","false","false","1","English","0.7","510135"
"1","false","","false","false","false","3","German","16.49","495079"
"1","false","","true","false","false","7","Japanese","2.99","487549"
"1","false","","false","false","false","1","English","0.33","455273"
"1","false","","true","false","false","1","English","0.5","471849"
"1","false","","false","false","false","9","Russian","0.87","391682"
"1","false","","false","false","false","1","English","0.4","391482"
"1","false","","false","false","false","1","English","0.4","422256"
"1","false","","false","false","false","1","English","0.33","358987"
"1","false","","true","false","false","3","German","0.5","379587"
"1","false","","false","false","false","1","English","2.21","22141"
"1","false","","true","false","false","3","German","41.26","486044"
"1","false","","false","false","false","9","Russian","0.33","375618"
"1","false","","false","false","false","1","English","0.33","371870"
"1","false","","true","false","false","1","English","4.1","514360"
"1","false","","false","false","false","1","English","0.33","466019"
"1","false","","false","false","false","1","English","0.33","473164"
"1","false","","true","false","false","1","English","0.8","471119"
"1","false","","true","false","false","1","English","0.5","453228"
"1","false","","false","false","false","1","English","0.33","512180"
"1","false","","false","false","false","1","English","0.4","418606"
"1","false","","true","false","false","1","English","0.5","401174"
"1","false","","false","false","false","1","English","0.5","454543"
"1","false","","true","false","false","9","Russian","0.52","402834"
"1","false","","false","false","false","1","English","0.59","418031"
"1","false","","true","false","false","1","English","1.61","468199"
"1","false","","false","false","false","1","English","1.76","451048"
"1","false","","true","false","false","3","German","0.5","511080"
"1","false","","false","false","false","9","Russian","0.5","392412"
"1","false","","false","false","false","9","Russian","0.33","372123"
"1","false","","false","false","false","3","German","0.33","399939"
"1","false","","true","false","false","3","German","0.5","497520"
"1","false","","false","false","false","1","English","0.5","257016"
"1","false","","false","false","false","3","German","0.33","364263"
"1","false","","true","false","false","1","English","0.5","496730"
"1","false","","true","false","false","1","English","0.5","368573"
"1","false","","false","false","false","1","English","200","16770"
"1","false","","true","false","false","1","English","0.7","513630"
"1","false","","false","false","false","1","English","0.33","360292"
"1","false","","true","false","false","1","English","0.5","432364"
"1","false","","true","false","false","1","English","0.5","495164"
"1","false","","true","false","false","3","German","2.75","254925"
"1","false","","false","false","false","1","English","0.33","378807"
"1","false","","false","false","false","1","English","0.33","375573"
"1","false","","true","false","false","1","English","12.94","453073"
"1","false","","true","false","false","1","English","0.5","486714"
"1","false","","true","false","false","1","English","2.47","400599"
"1","false","","false","false","false","3","German","0.33","371983"
"1","false","","false","false","false","1","English","0.33","301456"
"1","false","","true","false","false","3","German","0.5","496790"
"1","false","","true","false","false","1","English","48.51","485984"
"1","false","","false","false","false","1","English","0.85","294258"
"1","false","","false","false","false","1","English","0.4","392057"
"1","false","","false","false","false","1","English","0.33","484379"
"1","false","","false","false","false","9","Russian","0.33","401959"
"1","false","","true","false","false","1","English","0.5","358402"
"1","false","","true","false","false","3","German","0.5","402849"
"1","false","","true","false","false","3","German","0.5","510350"
"1","false","","false","false","false","3","German","0.33","513855"
"1","false","","false","false","false","1","English","0.33","371976"
"1","false","","false","false","false","1","English","4.4","14058"
"1","false","","false","false","false","3","German","0.33","399209"
"1","false","","false","false","false","1","English","0.33","473894"
"1","false","","false","false","false","1","English","0.33","359040"
"1","false","","false","false","false","1","English","0.4","422831"
"1","false","","false","false","false","1","English","0.33","372078"
"1","false","","false","false","false","1","English","0.72","452353"
"1","false","","true","false","false","3","German","16.32","495069"
"1","false","","false","false","false","1","English","0.33","471859"
"1","false","","true","false","false","3","German","0.5","378804"
"1","false","","false","false","false","3","German","0.33","510360"
"1","false","","false","false","false","1","English","0.4","423561"
"1","false","","false","false","false","1","English","0.4","417301"
"1","false","","true","false","false","3","German","0.5","496060"
"1","false","","false","false","false","3","German","0.33","468269"
"1","false","","false","false","false","9","Russian","0.33","379476"
"1","false","","false","false","false","1","English","0.33","363995"
"1","false","","false","false","false","1","English","0.5","264214"
"1","false","","false","false","false","9","Russian","0.33","368159"
"1","false","","true","false","false","1","English","0.5","455418"
"1","false","","true","false","false","1","English","0.5","374364"
"1","false","","false","false","false","1","English","0.33","367021"
"1","false","","true","false","false","9","Russian","139.99","374511"
"1","false","","false","false","false","1","English","0.33","372237"
"1","false","","false","false","false","9","Russian","0.33","372176"
"1","false","","false","false","false","1","English","4.56","510875"
"1","false","","false","false","false","1","English","0.33","401029"
"1","false","","true","false","false","1","English","4.1","512170"
"1","false","","false","false","false","3","German","0.33","450953"
"1","false","","false","false","false","3","German","0.49","496800"
"1","false","","true","false","false","3","German","0.5","432269"
"1","false","","true","false","false","1","English","0.5","366852"
"1","false","","false","false","false","1","English","0.33","495594"
"1","false","","false","false","false","3","German","0.4","390237"
"1","false","","false","false","false","1","English","0.33","510145"
"1","false","","false","false","false","1","English","0.49","503885"
"1","false","","false","false","false","1","English","0.49","468054"
"1","false","","false","false","false","1","English","0.33","371817"
"1","false","","false","false","false","3","German","0.33","454028"
"1","false","","false","false","false","1","English","1.36","315277"
"1","false","","false","false","false","1","English","0.33","400609"
"1","false","","false","false","false","1","English","0.33","474624"
"1","false","","false","false","false","9","Russian","0.33","399194"
"1","false","","false","false","false","3","German","0.49","504520"
"1","false","","false","false","false","5","Italian","0.99","300028"
"1","false","","false","false","false","1","English","0.9","514370"
"1","false","","true","false","false","3","German","12.37","484584"
"1","false","","false","false","false","9","Russian","0.33","368420"
"1","false","","false","false","false","1","English","0.33","496165"
"1","false","","false","false","false","1","English","0.5","263953"
"1","false","","false","false","false","1","English","0.4","420066"
"1","false","","false","false","false","1","English","0.33","432374"
"1","false","","false","false","false","1","English","0.33","364256"
"1","false","","false","false","false","9","Russian","0.33","371915"
"1","false","","false","false","false","1","English","0.33","372498"
"1","false","","false","false","false","3","German","0.33","401974"
"1","false","","false","false","false","1","English","0.33","368583"
"1","false","","true","false","false","7","Japanese","0.5","486244"
"1","false","","false","false","false","1","English","0.33","471129"
"1","false","","false","false","false","1","English","0.33","362013"
"1","false","","true","false","false","3","German","15.45","494649"
"1","false","","false","false","false","3","German","0.33","511090"
"1","false","","false","false","false","1","English","0.4","416571"
"1","false","","false","false","false","3","German","0.33","378243"
"1","false","","false","false","false","3","German","0.33","402859"
"1","false","","false","false","false","1","English","0.49","504305"
"1","false","","false","false","false","1","English","0.5","256388"
"1","false","","true","false","false","3","German","0.5","363833"
"1","false","","false","false","false","1","English","0.33","431334"
"1","false","","false","false","false","1","English","0.4","294360"
"1","false","","false","false","false","9","Russian","0.33","429291"
"1","false","","true","false","false","1","English","0.5","451923"
"1","false","","false","false","false","1","English","0.85","241992"
"1","false","","false","false","false","3","German","0.33","401819"
"1","false","","false","false","false","1","English","0.68","378705"
"1","false","","true","false","false","3","German","0.99","435034"
"1","false","","true","false","false","1","English","0.5","375669"
"1","false","","false","false","false","3","German","0.33","398634"
"1","false","","false","false","false","1","English","0.33","494864"
"1","false","","true","false","false","1","English","0.5","430329"
"1","false","","false","false","false","3","German","0.33","455178"
"1","false","","false","false","false","1","English","0.68","473319"
"1","false","","true","false","false","1","English","6.6","483949"
"1","false","","false","false","false","1","English","1.86","452928"
"1","false","","true","false","false","1","English","27.22","466319"
"1","false","","false","false","false","3","German","0.4","391387"
"1","false","","false","false","false","1","English","0.4","415996"
"1","false","","false","false","false","3","German","0.33","514275"
"1","false","","false","false","false","3","German","0.33","364108"
"1","false","","false","false","false","3","German","0.33","363586"
"1","false","","true","false","false","1","English","0.5","374988"
"1","false","","false","false","false","1","English","0.72","289095"
"1","false","","false","false","false","1","English","0.8","485994"
"1","false","","true","false","false","1","English","0.5","368259"
"1","false","","false","false","false","1","English","0.58","419181"
"1","false","","false","false","false","1","English","0.73","262856"
"1","false","","true","false","false","1","English","0.5","359030"
"1","false","","false","false","false","1","English","0.33","366601"
"1","false","","false","false","false","3","German","0.33","495654"
"1","false","","false","false","false","1","English","2.69","417456"
"1","false","","false","false","false","1","English","0.33","453968"
"1","false","","false","false","false","1","English","0.33","378966"
"1","false","","false","false","false","3","German","0.33","359622"
"1","false","","true","false","false","3","German","0.68","496370"
"1","false","","true","false","false","3","German","41.26","462574"
"1","false","","true","false","false","1","English","0.71","375408"
"1","false","","false","false","false","1","English","0.33","268802"
"1","false","","false","false","false","1","English","0.84","472279"
"1","false","","true","false","false","1","English","0.9","509980"
"1","false","","true","false","false","1","English","0.72","400024"
"1","false","","true","false","false","3","German","0.5","320857"
"1","false","","false","false","false","1","English","0.33","455428"
"1","false","","false","false","false","1","English","0.33","298324"
"1","false","","false","false","false","9","Russian","0.33","375720"
"1","false","","true","false","false","1","English","0.5","472004"
"1","false","","false","false","false","1","English","0.4","391637"
"1","false","","false","false","false","1","English","16.32","241943"
"1","false","","false","false","false","1","English","0.33","486414"
"1","false","","true","false","false","1","English","0.5","486404"
"1","false","","true","false","false","1","English","0.5","467779"
"1","false","","false","false","false","5","Italian","0.99","299926"
"1","false","","true","false","false","1","English","0.9","514205"
"1","false","","true","false","false","1","English","2.72","511020"
"1","false","","false","false","false","3","German","0.33","454758"
"1","false","","true","false","false","1","English","0.89","443163"
"1","false","","true","false","false","3","German","0.5","368527"
"1","false","","false","false","false","1","English","0.33","454388"
"1","false","","false","false","false","9","Russian","0.5","391837"
"1","false","","true","false","false","1","English","0.5","495584"
"1","false","","false","false","false","3","German","0.33","368594"
"1","false","","false","false","false","9","Russian","0.33","374472"
"1","false","","true","false","false","9","Russian","0.52","402989"
"1","false","","false","false","false","3","German","0.33","400094"
"1","false","","true","false","false","3","German","1.03","450943"
"1","false","","false","false","false","3","German","0.33","368590"
"1","false","","false","false","false","1","English","0.4","421681"
"1","false","","true","false","false","1","English","0.5","495319"
"1","false","","false","false","false","1","English","25","7170"
"1","false","","false","false","false","1","English","0.33","358571"
"1","false","","true","false","false","1","English","0.5","401749"
"1","false","","false","false","false","3","German","0.33","451993"
"1","false","","false","false","false","1","English","0.33","469094"
"1","false","","false","false","false","3","German","0.33","432124"
"1","false","","true","false","false","1","English","7.55","468044"
"1","false","","false","false","false","1","English","0.4","294364"
"1","false","","false","false","false","3","German","0.33","495915"
"1","false","","false","false","false","1","English","0.59","422101"
"1","false","","true","false","false","9","Russian","9.63","399184"
"1","false","","false","false","false","1","English","0.48","430914"
"1","false","","false","false","false","3","German","6.6","484019"
"1","false","","true","false","false","1","English","0.5","372223"
"1","false","","false","false","false","1","English","0.4","438324"
"1","false","","false","false","false","1","English","0.33","368587"
"1","false","","false","false","false","1","English","0.4","417876"
"1","false","","false","false","false","1","English","0.33","268806"
"1","false","","false","false","false","3","German","0.33","431704"
"1","false","","true","false","false","1","English","0.9","510445"
"1","false","","false","false","false","1","English","0.4","422986"
"1","false","","false","false","false","9","Russian","0.5","392257"
"1","false","","true","false","false","1","English","0.5","452918"
"1","false","","true","false","false","7","Japanese","8.99","486089"
"1","false","","false","false","false","7","Japanese","3.99","366865"
"1","false","","true","false","false","1","English","0.5","454843"
"1","false","","false","false","false","1","English","0.33","368530"
"1","false","","true","false","false","1","English","0.68","482644"
"1","false","","false","false","false","9","Russian","0.33","374994"
"1","false","","false","false","false","1","English","0.4","418761"
"1","false","","false","false","false","3","German","0.33","371877"
"1","false","","false","false","false","1","English","11.86","466329"
"1","false","","true","false","false","1","English","7.76","513785"
"1","false","","true","false","false","3","German","6.84","510925"
"1","false","","false","false","false","3","German","0.33","378345"
"1","false","","true","false","false","1","English","0.5","472269"
"1","false","","false","false","false","3","German","0.33","379548"
"1","false","","false","false","false","1","English","0.33","473739"
"1","false","","false","false","false","1","English","0.33","298328"
"1","false","","false","false","false","1","English","0.49","484534"
"1","false","","false","false","false","1","English","0.33","472014"
"1","false","","true","false","false","1","English","0.5","432209"
"1","false","","false","false","false","1","English","0.4","391902"
"1","false","","true","false","false","7","Japanese","31.99","374991"
"1","false","","false","false","false","3","German","0.33","372138"
"1","false","","false","false","false","9","Russian","0.33","371809"
"1","false","","false","false","false","1","English","0.9","504040"
"1","false","","false","false","false","1","English","0.33","366866"
"1","false","","true","false","false","1","English","0.5","496000"
"1","false","","false","false","false","1","English","0.33","368269"
"1","false","","true","false","false","1","English","0.8","400444"
"1","false","","false","false","false","9","Russian","0.5","393142"
"1","false","","false","false","false","3","German","0.33","359618"
"1","false","","false","false","false","1","English","0.33","401914"
"1","false","","false","false","false","1","English","1.36","509990"
"1","false","","false","false","false","1","English","0.33","361858"
"1","false","","false","false","false","9","Russian","0.33","368265"
"1","false","","false","false","false","1","English","0.33","474779"
"1","false","","false","false","false","1","English","0.5","264059"
"1","false","","false","false","false","1","English","0.5","257069"
"1","false","","false","false","false","1","English","0.33","467789"
"1","false","","false","false","false","1","English","0.4","420641"
"1","false","","true","false","false","9","Russian","0.52","400224"
"1","false","","true","false","false","3","German","7.1","494804"
"1","false","","false","false","false","1","English","9.45","496430"
"1","false","","false","false","false","3","German","0.33","510515"
"1","false","","false","false","false","1","English","0.4","423406"
"1","false","","false","false","false","1","English","0.4","416416"
"1","false","","false","false","false","3","German","0.33","360299"
"1","false","","false","false","false","9","Russian","0.33","374415"
"1","false","","true","false","false","3","German","0.5","495224"
"1","false","","true","false","false","1","English","0.5","364193"
"1","false","","false","false","false","1","English","1.32","452508"
"1","false","","true","false","false","1","English","0.5","469084"
"1","false","","true","false","false","1","English","0.5","366958"
"1","false","","false","false","false","1","English","0.33","359615"
"1","false","","false","false","false","9","Russian","0.33","371911"
"1","false","","true","false","false","1","English","0.5","455263"
"1","false","","false","false","false","1","English","6.38","513795"
"1","false","","false","false","false","1","English","0.4","420221"
"1","false","","false","false","false","3","German","0.49","503945"
"1","false","","false","false","false","1","English","0.33","495329"
"1","false","","false","false","false","1","English","0.33","514215"
"1","false","","false","false","false","3","German","0.33","471919"
"1","false","","false","false","false","3","German","0.49","504365"
"1","false","","true","false","false","3","German","6.6","484429"
"1","false","","true","false","false","3","German","0.5","431274"
"1","false","","false","false","false","3","German","0.33","454293"
"1","false","","false","false","false","3","German","0.45","453873"
"1","false","","false","false","false","1","English","0.33","358934"
"1","false","","true","false","false","3","German","0.5","495905"
"1","false","","true","false","false","3","German","0.5","432114"
"1","false","","true","false","false","1","English","1.13","486869"
"1","false","","true","false","false","3","German","16.42","512075"
"1","false","","true","false","false","3","German","50.2","509930"
"1","false","","true","false","false","3","German","0.73","470869"
"1","false","","true","false","false","1","English","13.68","510555"
"1","false","","false","false","false","7","Japanese","0.99","263903"
"1","false","","false","false","false","3","German","0.33","495499"
"1","false","","false","false","false","3","German","0.33","430554"
"1","false","","false","false","false","1","English","2.24","452043"
"1","false","","false","false","false","1","English","0.33","360288"
"1","false","","false","false","false","1","English","0.8","22145"
