"CURRENCYID","ISALTERED","ISFIRSTED","ISFOIL","ISPLAYSET","ISSIGNED","LANGUAGEID","LANGUAGENAME","PRICE","PRODUCTID"
"1","false","","false","false","false","1","English","0.15","298065"
"1","false","","false","false","false","1","English","0.15","258476"
"1","false","","false","false","false","1","English","0.15","291858"
"1","false","","false","false","false","3","German","1.24","270793"
"1","false","","true","false","false","1","English","0.15","267854"
"1","false","","false","false","false","1","English","0.15","267291"
"1","false","","false","false","false","1","English","0.15","315434"
"1","false","","false","false","false","3","German","0.14","868"
"1","false","","true","false","false","3","German","0.5","361696"
"1","false","","false","false","false","3","German","0.42","261352"
"1","false","","false","false","false","1","English","0.15","292849"
"1","false","","false","false","false","1","English","0.15","265048"
"1","false","","true","false","false","1","English","54.57","451038"
"1","false","","false","false","false","3","German","0.4","296716"
"1","false","","false","false","false","3","German","0.15","284824"
"1","false","","false","false","false","1","English","0.12","20681"
"1","false","","false","false","false","1","English","3.66","301664"
"1","false","","false","false","false","1","English","0.15","355388"
"1","false","","false","false","false","1","English","0.15","301403"
"1","false","","false","false","false","1","English","0.15","298326"
"1","false","","false","false","false","1","English","0.12","296709"
"1","false","","false","false","false","1","English","5.04","421161"
"1","false","","false","false","false","3","German","0.23","256658"
"1","false","","false","false","false","1","English","0.15","245436"
"1","false","","false","false","false","1","English","0.12","258111"
"1","false","","false","false","false","1","English","0.15","294205"
"1","false","","false","false","false","1","English","0.29","291128"
"1","false","","false","false","false","3","German","3.15","512030"
"1","false","","false","false","false","1","English","0.15","291962"
"1","false","","false","false","false","1","English","0.15","267552"
"1","false","","false","false","false","1","English","0.15","294831"
"1","false","","false","false","false","1","English","0.19","250548"
"1","false","","false","false","false","1","English","0.33","313713"
"1","false","","true","false","false","1","English","0.14","251945"
"1","false","","false","false","false","1","English","0.67","482709"
"1","false","","false","false","false","1","English","0.19","11605"
"1","false","","false","false","false","1","English","0.15","259989"
"1","false","","false","false","false","1","English","0.15","273394"
"1","false","","false","false","false","3","German","0.82","12552"
"1","false","","false","false","false","1","English","0.15","290398"
"1","false","","false","false","false","1","English","0.15","270786"
"1","false","","false","false","false","1","English","0.3","372184"
"1","false","","true","false","false","1","English","53.14","482699"
"1","false","","false","false","false","1","English","0.15","264161"
"1","false","","true","false","false","1","English","0.41","262116"
"1","false","","false","false","false","3","German","20.03","495079"
"1","false","","false","false","false","3","German","0.15","301724"
"1","false","","false","false","false","1","English","0.15","270160"
"1","false","","false","false","false","1","English","0.15","298169"
"1","false","","false","false","false","1","English","0.15","269169"
"1","false","","false","false","false","1","English","0.15","289146"
"1","false","","false","false","false","3","German","0.75","20949"
"1","false","","false","false","false","3","German","0.29","10309"
"1","false","","false","false","false","1","English","0.15","298795"
"1","false","","false","false","false","1","English","0.15","358987"
"1","false","","false","false","false","1","English","0.15","269534"
"1","false","","false","false","false","3","German","2.31","494714"
"1","false","","true","false","false","1","English","13.62","290231"
"1","false","","false","false","false","1","English","0.15","297178"
"1","false","","false","false","false","1","English","0.15","284921"
"1","false","","true","false","false","1","English","1.52","468199"
"1","false","","false","false","false","3","German","0.12","368123"
"1","false","","false","false","false","1","English","0.12","294309"
"1","false","","true","false","false","1","English","0.15","283606"
"1","false","","false","false","false","1","English","0.15","290449"
"1","false","","false","false","false","3","German","0.27","17819"
"1","false","","false","false","false","3","German","0.21","7805"
"1","false","","false","false","false","1","English","0.15","301299"
"1","false","","false","false","false","3","German","0.12","10048"
"1","false","","false","false","false","3","German","0.37","369791"
"1","false","","true","false","false","1","English","0.15","284858"
"1","false","","false","false","false","1","English","0.4","20734"
"1","false","","false","false","false","1","English","0.15","247157"
"1","false","","false","false","false","1","English","0.15","291911"
"1","false","","false","false","false","1","English","0.15","269220"
"1","false","","false","false","false","1","English","0.15","266718"
"1","false","","false","false","false","1","English","0.15","298012"
"1","false","","false","false","false","1","English","0.35","7590"
"1","false","","false","false","false","1","English","0.15","22351"
"1","false","","false","false","false","1","English","0.15","21880"
"1","false","","false","false","false","3","German","0.15","17664"
"1","false","","true","false","false","1","English","0.14","486714"
"1","false","","false","false","false","1","English","0.29","13797"
"1","false","","false","false","false","1","English","2.77","254198"
"1","false","","true","false","false","1","English","0.15","269524"
"1","false","","false","false","false","1","English","0.15","296030"
"1","false","","true","false","false","1","English","0.15","284805"
"1","false","","false","false","false","1","English","0.64","10824"
"1","false","","false","false","false","1","English","0.15","319451"
"1","false","","false","false","false","1","English","0.12","297753"
"1","false","","true","false","false","1","English","0.32","292735"
"1","false","","false","false","false","1","English","0.15","291181"
"1","false","","false","false","false","1","English","0.15","292796"
"1","false","","false","false","false","1","English","0.13","269430"
"1","false","","false","false","false","1","English","0.15","264265"
"1","false","","false","false","false","1","English","0.12","298742"
"1","false","","false","false","false","3","German","0.21","287222"
"1","false","","false","false","false","1","English","0.15","359040"
"1","false","","false","false","false","1","English","33.55","474104"
"1","false","","false","false","false","1","English","0.15","265727"
"1","false","","true","false","false","1","English","1.87","445353"
"1","false","","false","false","false","3","German","2.39","296663"
"1","false","","false","false","false","1","English","0.15","271673"
"1","false","","false","false","false","1","English","0.26","452353"
"1","false","","false","false","false","1","English","0.15","292433"
"1","false","","false","false","false","1","English","0.15","261500"
"1","false","","false","false","false","3","German","0.14","21261"
"1","false","","false","false","false","1","English","0.15","273288"
"1","false","","false","false","false","1","English","0.15","258425"
"1","false","","false","false","false","1","English","0.12","264214"
"1","false","","false","false","false","1","English","0.15","290971"
"1","false","","false","false","false","1","English","0.15","301768"
"1","false","","false","false","false","1","English","0.13","372237"
"1","false","","false","false","false","1","English","0.15","313974"
"1","false","","false","false","false","1","English","0.16","503885"
"1","false","","false","false","false","3","German","0.15","284877"
"1","false","","false","false","false","1","English","0.15","269481"
"1","false","","true","false","false","3","German","0.83","403789"
"1","false","","false","false","false","1","English","0.15","284452"
"1","false","","false","false","false","3","German","0.12","452"
"1","false","","false","false","false","1","English","0.15","297231"
"1","false","","false","false","false","1","English","0.25","13326"
"1","false","","false","false","false","1","English","0.15","293736"
"1","false","","false","false","false","1","English","0.15","273027"
"1","false","","false","false","false","1","English","0.15","269952"
"1","false","","false","false","false","1","English","0.49","300465"
"1","false","","false","false","false","1","English","0.15","273186"
"1","false","","false","false","false","1","English","0.15","272976"
"1","false","","false","false","false","1","English","0.15","262962"
"1","false","","false","false","false","1","English","0.15","22559"
"1","false","","false","false","false","1","English","0.15","290241"
"1","false","","false","false","false","1","English","0.15","289199"
"1","false","","false","false","false","1","English","0.15","288989"
"1","false","","false","false","false","1","English","0.15","290451"
"1","false","","false","false","false","1","English","0.15","283461"
"1","false","","false","false","false","1","English","0.15","27"
"1","false","","false","false","false","1","English","0.15","301717"
"1","false","","false","false","false","1","English","0.15","319763"
"1","false","","false","false","false","1","English","0.15","267762"
"1","false","","false","false","false","3","German","4.17","298488"
"1","false","","true","false","false","3","German","0.11","363833"
"1","false","","false","false","false","1","English","0.15","313972"
"1","false","","false","false","false","1","English","0.15","284766"
"1","false","","false","false","false","1","English","0.15","290396"
"1","false","","false","false","false","1","English","0.16","249141"
"1","false","","false","false","false","1","English","0.15","13224"
"1","false","","false","false","false","1","English","0.15","261555"
"1","false","","false","false","false","1","English","0.17","20787"
"1","false","","true","false","false","1","English","0.15","273329"
"1","false","","false","false","false","3","German","0.15","11145"
"1","false","","true","false","false","1","English","0.15","430329"
"1","false","","false","false","false","1","English","0.15","266406"
"1","false","","false","false","false","1","English","13.19","366187"
"1","false","","false","false","false","1","English","0.15","258370"
"1","false","","false","false","false","1","English","0.15","319814"
"1","false","","false","false","false","1","English","0.15","301770"
"1","false","","true","false","false","1","English","0.15","294874"
"1","false","","false","false","false","1","English","0.15","295928"
"1","false","","false","false","false","1","English","0.15","264942"
"1","false","","false","false","false","1","English","0.33","13899"
"1","false","","false","false","false","1","English","0.15","261239"
"1","false","","false","false","false","1","English","0.14","2166"
"1","false","","false","false","false","3","German","0.26","22617"
"1","false","","false","false","false","3","German","0.13","301200"
"1","false","","false","false","false","1","English","0.15","355390"
"1","false","","false","false","false","1","English","0.15","296707"
"1","false","","false","false","false","1","English","0.12","364205"
"1","false","","false","false","false","1","English","0.15","271671"
"1","false","","false","false","false","1","English","0.23","271465"
"1","false","","false","false","false","1","English","0.15","268802"
"1","false","","false","false","false","1","English","0.12","315328"
"1","false","","false","false","false","1","English","0.31","247055"
"1","false","","false","false","false","1","English","0.12","358832"
"1","false","","false","false","false","1","English","0.15","298324"
"1","false","","false","false","false","1","English","0.21","359038"
"1","false","","false","false","false","1","English","0.15","256284"
"1","false","","false","false","false","1","English","0.21","301193"
"1","false","","false","false","false","1","English","0.15","291860"
"1","false","","false","false","false","1","English","0.15","290239"
"1","false","","false","false","false","1","English","0.15","269324"
"1","false","","false","false","false","1","English","0.15","286067"
"1","false","","false","false","false","3","German","0.15","372193"
"1","false","","false","false","false","1","English","0.15","284870"
"1","false","","false","false","false","3","German","0.21","273138"
"1","false","","false","false","false","1","English","0.15","273235"
"1","false","","true","false","false","3","German","0.77","450943"
"1","false","","false","false","false","3","German","0.14","256395"
"1","false","","false","false","false","1","English","0.15","265884"
"1","false","","false","false","false","1","English","0.15","258474"
"1","false","","false","false","false","1","English","0.15","269483"
"1","false","","false","false","false","1","English","0.15","355386"
"1","false","","true","false","false","1","English","0.15","269522"
"1","false","","true","false","false","1","English","0.15","289189"
"1","false","","false","false","false","1","English","0.15","264838"
"1","false","","false","false","false","1","English","0.63","242830"
"1","false","","false","false","false","1","English","0.12","271567"
"1","false","","false","false","false","1","English","0.15","296762"
"1","false","","false","false","false","1","English","0.15","358571"
"1","false","","true","false","false","3","German","1.95","296759"
"1","false","","false","false","false","1","English","0.15","287370"
"1","false","","false","false","false","1","English","0.15","272193"
"1","false","","false","false","false","1","English","0.15","267866"
"1","false","","false","false","false","1","English","0.15","319761"
"1","false","","false","false","false","1","English","0.15","272974"
"1","false","","false","false","false","1","English","0.15","262334"
"1","false","","false","false","false","1","English","0.15","298846"
"1","false","","false","false","false","3","German","0.13","297187"
"1","false","","false","false","false","1","English","0.4","430914"
"1","false","","false","false","false","1","English","0.12","358936"
"1","false","","false","false","false","1","English","0.15","287374"
"1","false","","false","false","false","1","English","0.13","295981"
"1","false","","false","false","false","1","English","0.15","301715"
"1","false","","false","false","false","1","English","0.17","247993"
"1","false","","false","false","false","3","German","0.15","284875"
"1","false","","false","false","false","1","English","0.15","289197"
"1","false","","false","false","false","3","German","0.13","296767"
"1","false","","false","false","false","1","English","0.15","291856"
"1","false","","false","false","false","1","English","0.15","259934"
"1","false","","true","false","false","1","English","2.65","400964"
"1","false","","false","false","false","3","German","0.21","709"
"1","false","","false","false","false","1","English","14.54","491944"
