"CURRENCYID","ISALTERED","ISFIRSTED","ISFOIL","ISPLAYSET","ISSIGNED","LANGUAGEID","LANGUAGENAME","PRICE","PRODUCTID"
"1","false","","false","false","false","1","English","0.25","495019"
"1","false","","false","false","false","1","English","0.5","298065"
"1","false","","false","false","false","1","English","0.5","294466"
"1","false","","false","false","false","1","English","0.5","496010"
"1","false","","false","false","false","1","English","0.25","514005"
"1","false","","false","false","false","1","English","0.25","453813"
"1","false","","false","false","false","1","English","0.25","400454"
"1","false","","false","false","false","1","English","0.25","529392"
"1","false","","false","false","false","7","Japanese","1","372287"
"1","false","","false","false","false","1","English","0.5","376617"
"1","false","","false","false","false","1","English","0.25","312826"
"1","false","","false","false","false","1","English","0.5","495384"
"1","false","","false","false","false","1","English","0.25","494654"
"1","false","","false","false","false","1","English","0.25","358883"
"1","false","","false","false","false","1","English","0.25","472799"
"1","false","","false","false","false","1","English","0.25","513640"
"1","false","","false","false","false","1","English","0.25","468209"
"1","false","","false","false","false","1","English","0.25","432219"
"1","false","","false","false","false","1","English","0.25","429246"
"1","false","","false","false","false","1","English","0.5","19586"
"1","false","","false","false","false","1","English","0.25","298326"
"1","false","","false","false","false","1","English","0.25","375000"
"1","false","","false","false","false","1","English","0.25","472069"
"1","false","","true","false","false","1","English","2","443318"
"1","false","","false","false","false","1","English","0.25","366811"
"1","false","","false","false","false","1","English","1","454178"
"1","false","","false","false","false","1","English","1.25","291754"
"1","false","","false","false","false","1","English","1","504460"
"1","false","","false","false","false","1","English","1","419336"
"1","false","","false","false","false","1","English","1","313713"
"1","false","","false","false","false","1","English","0.25","358726"
"1","false","","false","false","false","1","English","0.25","366968"
"1","false","","false","false","false","3","German","1","429671"
"1","false","","false","false","false","1","English","1","454908"
"1","false","","false","false","false","1","English","1","301195"
"1","false","","false","false","false","1","English","1","372184"
"1","false","","false","false","false","1","English","1","514474"
"1","false","","false","false","false","1","English","0.5","498775"
"1","false","","false","false","false","1","English","0.25","473529"
"1","false","","false","false","false","1","English","0.25","455273"
"1","false","","false","false","false","1","English","0.5","530852"
