"CURRENCYID","ISALTERED","ISFIRSTED","ISFOIL","ISPLAYSET","ISSIGNED","LANGUAGEID","LANGUAGENAME","PRICE","PRODUCTID"
"1","false","","false","false","false","1","English","0.1","258476"
"1","false","","false","false","false","1","English","0.15","415841"
"1","false","","false","false","false","1","English","1.25","339"
"1","false","","false","false","false","1","English","0.1","400454"
"1","false","","false","false","false","4","Spanish","0.1","271678"
"1","false","","false","false","false","1","English","0.2","513640"
"1","false","","false","false","false","1","English","0.15","429246"
"1","false","","false","false","false","1","English","0.15","20681"
"1","false","","false","false","false","1","English","2.95","301664"
"1","false","","false","false","false","4","Spanish","0.2","362018"
"1","false","","true","false","false","4","Spanish","0.15","378594"
"1","false","","false","false","false","1","English","0.25","296709"
"1","false","","true","false","false","4","Spanish","0.15","496735"
"1","false","","false","false","false","1","English","0.15","420796"
"1","false","","true","false","false","4","Spanish","1.45","291227"
"1","false","","false","false","false","1","English","0.15","294205"
"1","false","","false","false","false","1","English","1.45","291754"
"1","false","","false","false","false","4","Spanish","0.2","378396"
"1","false","","true","false","false","1","English","1.25","300349"
"1","false","","false","false","false","1","English","0.1","259989"
"1","false","","false","false","false","4","Spanish","0.1","283623"
"1","false","","false","false","false","1","English","9.95","372131"
"1","false","","false","false","false","4","Spanish","0.35","13072"
"1","false","","false","false","false","1","English","0.95","301195"
"1","false","","true","false","false","4","Spanish","0.15","273336"
"1","false","","false","false","false","1","English","0.25","498775"
"1","false","","true","false","false","1","English","0.15","294872"
"1","false","","false","false","false","1","English","0.3","391482"
"1","false","","false","false","false","4","Spanish","0.25","273138"
"1","false","","false","false","false","1","English","0.45","422256"
"1","false","","false","false","false","4","Spanish","0.1","264219"
"1","false","","false","false","false","4","Spanish","0.2","319874"
"1","false","","false","false","false","1","English","0.3","293683"
"1","false","","true","false","false","4","Spanish","1000","451043"
"1","false","","true","false","false","1","English","4.45","514360"
"1","false","","false","false","false","1","English","0.45","21150"
"1","false","","true","false","false","1","English","0.35","453228"
"1","false","","true","false","false","1","English","0.45","401174"
"1","false","","false","false","false","1","English","0.15","454543"
"1","false","","false","false","false","4","Spanish","0.1","432069"
"1","false","","true","false","false","1","English","1.25","468199"
"1","false","","false","false","false","7","Japanese","0.1","282834"
"1","false","","false","false","false","1","English","0.1","257016"
"1","false","","false","false","false","4","Spanish","0.1","266723"
"1","false","","false","false","false","4","Spanish","0.15","289100"
"1","false","","false","false","false","1","English","0.1","360292"
"1","false","","true","false","false","4","Spanish","0.3","242040"
"1","false","","true","false","false","1","English","0.15","432364"
"1","false","","true","false","false","4","Spanish","0.15","360287"
"1","false","","false","false","false","1","English","0.2","287215"
"1","false","","false","false","false","4","Spanish","0.1","495024"
"1","false","","false","false","false","1","English","0.35","261502"
"1","false","","false","false","false","1","English","0.1","375573"
"1","false","","true","false","false","4","Spanish","0.35","261497"
"1","false","","true","false","false","4","Spanish","0.35","298739"
"1","false","","false","false","false","1","English","1.45","19743"
"1","false","","false","false","false","4","Spanish","0.2","248416"
"1","false","","false","false","false","4","Spanish","0.45","288994"
"1","false","","false","false","false","4","Spanish","0.1","319768"
"1","false","","false","false","false","7","Japanese","0.1","284763"
"1","false","","true","false","false","1","English","61.95","485984"
"1","false","","false","false","false","1","English","0.2","392057"
