"CURRENCYID","ISALTERED","ISFIRSTED","ISFOIL","ISPLAYSET","ISSIGNED","LANGUAGEID","LANGUAGENAME","PRICE","PRODUCTID"
"1","false","","false","false","false","1","English","0.09","495019"
"1","false","","true","false","false","5","Italian","0.22","259334"
"1","false","","false","false","false","9","Russian","0.03","368628"
"1","false","","true","false","false","1","English","0.14","368626"
"1","false","","false","false","false","5","Italian","0.1","262370"
"1","false","","false","false","false","1","English","0.12","496010"
"1","false","","true","false","false","1","English","0.07","470389"
"1","false","","false","false","false","1","English","0.02","415841"
"1","false","","false","false","false","1","English","0.1","400454"
"1","false","","false","false","false","5","Italian","0.03","267586"
"1","false","","false","false","false","5","Italian","0.03","1990"
"1","false","","false","false","false","1","English","0.15","376617"
"1","false","","true","false","false","9","Russian","0.25","368565"
"1","false","","false","false","false","3","German","0.24","21471"
"1","false","","false","false","false","1","English","0.05","468209"
"1","false","","false","false","false","1","English","0.05","432219"
"1","false","","false","false","false","1","English","0.07","429246"
"1","false","","true","false","false","1","English","0.39","360176"
"1","false","","true","false","false","5","Italian","4.99","13350"
"1","false","","false","false","false","5","Italian","0.05","19359"
"1","false","","false","false","false","1","English","0.05","379590"
"1","false","","false","false","false","1","English","0.18","296709"
"1","false","","false","false","false","1","English","0.05","364203"
"1","false","","false","false","false","5","Italian","0.14","300603"
"1","false","","false","false","false","5","Italian","0.03","3972"
"1","false","","false","false","false","5","Italian","0.11","288919"
"1","false","","true","false","false","5","Italian","0.99","435059"
"1","false","","false","false","false","1","English","0.1","360500"
"1","false","","true","false","false","1","English","0.08","530477"
"1","false","","false","false","false","1","English","0.11","376878"
"1","false","","true","false","false","1","English","0.09","379527"
"1","false","","false","false","false","5","Italian","0.05","2981"
"1","false","","true","false","false","5","Italian","0.49","267523"
"1","false","","false","false","false","1","English","0.25","358726"
"1","false","","false","false","true","5","Italian","7.49","267748"
"1","false","","false","false","false","1","English","0.16","366968"
"1","false","","true","false","false","1","English","0.18","368157"
"1","false","","false","false","false","5","Italian","0.11","268055"
"1","false","","false","false","false","1","English","0.21","557350"
"1","false","","true","false","false","1","English","0.16","510135"
"1","false","","true","false","false","1","English","0.89","262116"
"1","false","","false","false","false","5","Italian","0.03","2512"
"1","false","","false","false","false","1","English","0.05","498775"
"1","false","","true","false","false","5","Italian","0.29","284370"
"1","false","","true","false","false","1","English","0.09","471849"
"1","false","","true","false","false","1","English","0.09","294872"
"1","false","","false","false","false","1","English","0.13","319816"
"1","false","","false","false","false","1","English","0.05","358987"
"1","false","","true","false","false","1","English","0.55","319492"
"1","false","","false","false","false","1","English","0.03","371870"
"1","false","","true","false","false","5","Italian","33","289378"
"1","false","","false","false","false","1","English","0.05","512180"
"1","false","","false","false","false","1","English","0.06","297178"
"1","false","","false","false","false","1","English","0.05","3520"
"1","false","","false","false","false","5","Italian","0.05","294918"
"1","false","","false","false","false","5","Italian","0.03","2251"
"1","false","","true","false","false","5","Italian","5.5","373042"
"1","false","","false","false","false","1","English","0.05","531217"
"1","false","","true","false","false","1","English","0.14","368573"
"1","false","","true","false","false","1","English","0.24","513630"
"1","false","","false","false","false","1","English","0.02","360292"
"1","false","","true","false","false","5","Italian","0.15","267576"
"1","false","","false","false","false","1","English","0.03","531062"
"1","false","","false","false","false","5","Italian","0.26","1052"
"1","false","","false","false","false","5","Italian","0.03","267533"
"1","false","","false","false","false","1","English","0.03","378807"
"1","false","","true","false","false","5","Italian","0.07","293289"
"1","false","","false","false","false","1","English","0.07","375573"
"1","false","","false","false","false","5","Italian","0.03","3034"
"1","false","","true","false","false","1","English","0.09","486714"
"1","false","","true","false","false","5","Italian","6.99","247858"
"1","false","","false","false","false","5","Italian","0.05","372530"
"1","false","","true","false","false","1","English","0.48","289240"
"1","false","","false","false","false","1","English","1.37","503155"
"1","false","","false","false","false","1","English","0.25","498045"
"1","false","","true","false","false","7","Japanese","0.29","372173"
"1","false","","false","false","false","5","Italian","0.05","271497"
"1","false","","false","false","false","1","English","0.08","301456"
"1","false","","false","false","false","5","Italian","0.62","435069"
"1","false","","true","false","true","1","English","8.99","254195"
"1","false","","false","false","false","5","Italian","0.1","378321"
"1","false","","false","false","false","1","English","0.11","297753"
"1","false","","false","false","false","1","English","7.59","530332"
"1","false","","false","false","false","1","English","0.09","498930"
"1","false","","false","false","false","7","Japanese","0.1","372130"
"1","false","","false","false","false","5","Italian","0.03","2773"
"1","false","","true","false","false","1","English","0.65","358402"
"1","false","","false","false","false","1","English","0.05","371976"
"1","false","","true","false","false","7","Japanese","0.5","371912"
"1","false","","false","false","false","1","English","0.18","20004"
"1","false","","false","true","false","1","English","0.1","363965"
"1","false","","true","false","false","1","English","0.15","291116"
"1","false","","false","false","false","1","English","0.15","473894"
"1","false","","false","false","false","1","English","0.05","359040"
"1","false","","false","false","false","1","English","0.05","271673"
"1","false","","false","false","false","1","English","0.05","372078"
"1","false","","true","false","false","5","Italian","0.44","287604"
"1","false","","false","false","false","1","English","0.07","471859"
"1","false","","false","false","false","1","English","0.12","423561"
"1","false","","false","false","false","5","Italian","0.03","292728"
"1","false","","false","false","false","1","English","0.03","273288"
"1","false","","false","false","false","5","Italian","0.95","283495"
"1","false","","false","false","false","1","English","0.05","363995"
"1","false","","false","false","false","9","Russian","0.1","368159"
"1","false","","false","false","false","1","English","0.05","290971"
"1","false","","false","false","false","5","Italian","59","11015"
"1","false","","true","false","false","1","English","0.22","289032"
"1","false","","false","false","false","1","English","0.1","401029"
"1","false","","false","false","false","5","Italian","0.05","371800"
"1","false","","false","false","false","1","English","0.06","495594"
"1","false","","false","false","false","5","Italian","0.12","8874"
"1","false","","false","false","false","1","English","0.04","510145"
"1","false","","true","false","false","5","Italian","0.49","403869"
"1","false","","false","false","false","1","English","0.07","371817"
"1","false","","false","false","false","5","Italian","0.13","261534"
"1","false","","false","false","false","5","Italian","0.03","292467"
"1","false","","false","false","false","1","English","0.09","474624"
"1","false","","false","false","false","1","English","0.05","297231"
"1","false","","true","false","false","1","English","0.27","298836"
"1","false","","false","false","false","9","Russian","0.1","368420"
"1","false","","false","false","false","1","English","0.08","273186"
"1","false","","false","false","false","1","English","0.06","496165"
"1","false","","false","false","false","1","English","0.07","432374"
"1","false","","false","false","false","1","English","0.02","364256"
"1","false","","false","false","false","1","English","0.06","290241"
"1","false","","false","false","false","1","English","0.05","368583"
"1","false","","true","false","false","5","Italian","2.75","363601"
"1","false","","true","false","false","1","English","0.12","363618"
"1","false","","false","false","false","1","English","0.14","288989"
"1","false","","false","false","false","1","English","0.11","471129"
"1","false","","true","false","false","1","English","0.18","291014"
"1","false","","true","false","false","5","Italian","3.69","268045"
"1","false","","false","false","false","1","English","0.08","416571"
"1","false","","false","false","false","1","English","0.02","319763"
"1","false","","true","false","false","1","English","2.59","532092"
"1","false","","false","false","false","5","Italian","0.02","269462"
"1","false","","false","false","false","1","English","0.03","313972"
"1","false","","false","false","false","1","English","0.08","431334"
"1","false","","true","false","false","1","English","3.79","294558"
"1","false","","false","false","false","1","English","0.35","477544"
"1","false","","true","false","false","5","Italian","0.15","287241"
"1","false","","false","false","false","1","English","0.08","290396"
"1","false","","false","false","false","5","Italian","0.1","261485"
"1","false","","true","false","false","1","English","0.15","375669"
"1","false","","true","false","false","1","English","0.19","531052"
"1","false","","false","false","false","1","English","0.12","494864"
"1","false","","true","false","false","1","English","0.11","430329"
"1","false","","false","false","false","1","English","0.03","415996"
"1","false","","false","false","false","5","Italian","0.02","271705"
"1","false","","true","false","false","1","English","0.1","368259"
"1","false","","false","false","false","5","Italian","0.03","267741"
"1","false","","false","false","false","5","Italian","0.03","2357"
"1","false","","false","false","false","1","English","0.03","378966"
"1","false","","true","false","false","5","Italian","0.35","360000"
"1","false","","false","false","false","1","English","0.15","358832"
"1","false","","false","false","false","5","Italian","0.12","284800"
"1","false","","false","false","false","5","Italian","0.13","292777"
"1","false","","true","false","false","1","English","0.07","486404"
"1","false","","false","false","false","5","Italian","0.29","296741"
"1","false","","false","false","false","1","English","0.05","291860"
"1","false","","false","false","false","1","English","0.2","269324"
"1","false","","false","false","false","5","Italian","0.15","266958"
"1","false","","false","false","false","5","Italian","0.03","283601"
"1","false","","false","false","false","1","English","0.03","284870"
"1","false","","false","false","false","1","English","0.29","267081"
"1","false","","false","false","false","1","English","0.03","269483"
"1","false","","true","false","false","5","Italian","0.15","273314"
"1","false","","false","false","false","5","Italian","0.05","292830"
"1","false","","false","false","false","5","Italian","0.21","292516"
"1","false","","false","false","false","5","Italian","0.07","283597"
"1","false","","false","false","false","1","English","0.03","271567"
"1","false","","false","false","false","5","Italian","0.11","256999"
"1","false","","false","false","false","1","English","0.05","296762"
"1","false","","false","false","false","5","Italian","0.09","404034"
"1","false","","false","false","false","1","English","0.05","358571"
"1","false","","false","false","false","1","English","0.1","294780"
"1","false","","false","false","false","1","English","0.03","469094"
"1","false","","false","false","false","7","Japanese","0.1","372077"
"1","false","","true","false","false","1","English","0.12","315422"
"1","false","","false","false","false","5","Italian","0.02","297422"
"1","false","","false","false","false","1","English","0.03","298846"
"1","false","","false","false","false","1","English","0.15","430914"
"1","false","","false","false","false","1","English","0.03","289197"
"1","false","","false","false","false","1","English","0.04","291856"
"1","false","","true","false","false","1","English","0.55","529327"
