"CURRENCYID","ISALTERED","ISFIRSTED","ISFOIL","ISPLAYSET","ISSIGNED","LANGUAGEID","LANGUAGENAME","PRICE","PRODUCTID"
"1","false","","false","false","false","1","English","0.3","495019"
"1","false","","false","false","false","3","German","0.18","455333"
"1","false","","false","false","false","1","English","0.79","496010"
"1","false","","true","false","false","1","English","0.59","470389"
"1","false","","true","false","false","3","German","0.59","273338"
"1","false","","false","true","false","1","English","0.44","269453"
"1","false","","false","false","false","1","English","1.99","339"
"1","false","","false","false","false","1","English","0.27","453813"
"1","false","","true","false","false","1","English","0.84","314015"
"1","false","","false","false","false","1","English","0.27","400454"
"1","false","","false","false","false","3","German","0.27","292752"
"1","false","","true","false","false","3","German","1.49","476134"
"1","false","","false","false","false","1","English","0.27","312826"
"1","false","","false","false","false","3","German","1.93","293743"
"1","false","","false","false","false","3","German","0.18","264951"
"1","false","","false","false","false","1","English","0.39","513640"
"1","false","","false","true","false","3","German","0.35","455148"
"1","false","","false","false","false","1","English","0.27","468209"
"1","false","","false","false","false","3","German","0.27","267194"
"1","false","","false","false","false","1","English","0.18","432219"
"1","false","","false","false","false","1","English","0.44","429246"
"1","false","","false","false","false","3","German","0.18","264221"
"1","false","","true","false","false","1","English","1.41","360176"
"1","false","","false","false","false","1","English","0.44","431489"
"1","false","","false","false","false","1","English","0.27","11762"
"1","false","","false","false","false","3","German","0.18","284824"
"1","false","","false","false","false","1","English","4.7","301664"
"1","false","","false","false","false","1","English","0.41","247314"
"1","false","","false","false","false","1","English","0.18","301403"
"1","false","","true","false","false","3","German","0.84","1066"
"1","false","","false","false","false","1","English","11.49","366185"
"1","false","","false","false","false","3","German","0.18","269437"
"1","false","","false","false","false","1","English","0.18","379590"
"1","false","","false","false","false","1","English","0.18","486569"
"1","false","","false","true","false","1","English","0.44","269192"
"1","false","","false","false","false","1","English","2.49","78"
"1","false","","true","false","false","3","German","0.84","265879"
"1","false","","false","false","false","1","English","0.18","364203"
"1","false","","false","false","false","1","English","0.44","300412"
"1","false","","true","false","false","1","English","1.39","443318"
"1","false","","false","false","false","1","English","0.18","360500"
"1","false","","false","false","false","1","English","0.59","18960"
"1","false","","false","false","false","3","German","1.49","510205"
"1","false","","false","false","false","1","English","0.89","315330"
"1","false","","true","false","false","1","English","9.68","430174"
"1","false","","false","false","false","3","German","7.19","315337"
"1","false","","false","false","false","1","English","1.34","291754"
"1","false","","false","false","false","3","German","0.3","514899"
"1","false","","false","false","false","1","English","3.75","12023"
"1","false","","true","false","false","1","English","1.27","259926"
"1","false","","true","false","false","1","English","5.99","276"
"1","false","","false","false","false","1","English","0.35","291962"
"1","false","","true","false","false","1","English","0.59","372121"
"1","false","","false","false","false","1","English","18.52","319033"
"1","false","","false","false","false","1","English","0.35","270629"
"1","false","","false","false","false","1","English","1.39","12231"
"1","false","","false","false","false","1","English","0.3","504460"
"1","false","","false","true","false","1","English","0.35","472249"
"1","false","","true","false","false","3","German","0.59","471179"
"1","false","","false","false","false","1","English","1.13","419336"
"1","false","","false","false","false","1","English","0.89","2582"
"1","false","","false","false","false","1","English","0.18","358726"
"1","false","","false","false","false","3","German","0.35","247060"
"1","false","","false","false","false","1","English","0.18","366968"
"1","false","","false","true","false","1","English","0.44","263768"
"1","false","","false","false","false","1","English","9.99","372131"
"1","false","","false","false","false","1","English","1.34","301195"
"1","false","","false","false","false","3","German","0.18","432279"
"1","false","","false","false","false","1","English","1.25","372184"
"1","false","","false","true","false","3","German","0.44","264244"
"1","false","","false","false","false","3","German","0.27","271680"
"1","false","","false","false","false","3","German","0.68","301724"
"1","false","","false","false","false","1","English","0.18","270160"
"1","false","","true","false","false","1","English","0.84","22600"
"1","false","","false","false","false","1","English","0.18","455273"
"1","false","","false","false","false","1","English","0.27","298169"
"1","false","","true","false","false","1","English","0.59","471849"
"1","false","","false","false","false","1","English","0.27","282782"
"1","false","","false","false","false","1","English","0.18","269169"
"1","false","","false","false","false","1","English","0.79","391482"
"1","false","","false","false","false","1","English","0.18","295926"
"1","false","","false","false","false","1","English","0.27","319816"
"1","false","","true","false","false","3","German","0.76","2579"
"1","false","","false","false","false","1","English","0.18","358987"
"1","false","","false","false","false","3","German","0.27","247321"
"1","false","","false","false","false","1","English","3.49","22141"
"1","false","","false","false","false","1","English","0.39","293683"
"1","false","","true","false","false","1","English","1.69","319492"
"1","false","","true","false","false","3","German","0.76","242772"
"1","false","","false","false","false","1","English","0.18","371870"
"1","false","","false","false","false","1","English","0.8","466019"
"1","false","","true","false","false","1","English","1.73","471119"
"1","false","","true","false","false","1","English","1.99","13942"
"1","false","","false","false","false","1","English","0.18","512180"
"1","false","","true","false","false","3","German","1.06","1013"
"1","false","","false","false","false","1","English","0.49","514839"
"1","false","","false","false","false","1","English","0.62","454543"
"1","false","","false","false","false","1","English","0.18","297178"
"1","false","","false","false","false","1","English","0.68","418031"
"1","false","","false","false","false","1","English","3.25","451048"
"1","false","","false","false","false","3","German","0.89","362020"
"1","false","","false","false","false","1","English","0.18","290449"
"1","false","","false","false","false","1","English","0.27","298430"
"1","false","","false","false","false","3","German","0.27","399939"
"1","false","","false","false","false","3","German","0.89","435199"
"1","false","","false","false","false","3","German","0.18","287328"
"1","false","","false","true","false","1","English","0.63","269922"
"1","false","","false","false","false","1","English","0.18","360292"
"1","false","","true","false","false","1","English","2.75","17853"
"1","false","","true","false","false","1","English","0.84","290386"
