"CURRENCYID","ISALTERED","ISFIRSTED","ISFOIL","ISPLAYSET","ISSIGNED","LANGUAGEID","LANGUAGENAME","PRICE","PRODUCTID"
"1","false","","false","false","false","3","German","0.49","283572"
"1","false","","false","false","false","1","English","0.49","258476"
"1","false","","false","false","false","3","German","0.49","12030"
"1","false","","false","false","false","1","English","0.99","339"
"1","false","","false","false","false","1","English","0.59","3312"
"1","false","","false","false","false","1","English","0.49","400454"
"1","false","","false","false","false","1","English","0.49","360239"
"1","false","","false","false","false","3","German","0.49","14012"
"1","false","","false","false","false","3","German","0.49","15003"
"1","false","","false","false","false","1","English","0.49","242098"
"1","false","","true","false","false","1","English","7.49","537"
"1","false","","false","false","false","3","German","0.49","267194"
"1","false","","false","false","false","1","English","0.49","432219"
"1","false","","false","false","false","1","English","0.49","429246"
"1","false","","false","false","false","3","German","0.49","264221"
"1","false","","false","false","false","1","English","0.49","2321"
"1","false","","true","false","false","3","German","3.89","355750"
"1","false","","false","false","false","1","English","1.09","14735"
"1","false","","false","false","false","1","English","0.49","11762"
"1","false","","false","false","false","1","English","0.49","20681"
"1","false","","false","false","false","3","German","0.49","289049"
"1","false","","false","false","false","1","English","0.49","364203"
"1","false","","true","false","false","3","German","14.99","496215"
"1","false","","true","false","false","1","English","1.29","443318"
"1","false","","false","false","false","3","German","0.49","2120"
"1","false","","false","false","false","1","English","0.69","291754"
"1","false","","false","false","false","1","English","0.49","6285"
"1","false","","false","false","false","1","English","0.49","12231"
"1","false","","false","false","false","1","English","0.79","250548"
"1","false","","false","false","false","3","German","0.49","13021"
"1","false","","true","false","false","1","English","1.99","300349"
"1","false","","false","false","false","3","German","0.49","3580"
"1","false","","false","false","false","3","German","0.49","18967"
"1","false","","true","false","false","1","English","6.49","290961"
"1","false","","false","false","false","1","English","0.49","273394"
"1","false","","false","false","false","1","English","0.49","259989"
"1","false","","false","false","false","3","German","0.49","271680"
"1","false","","false","false","false","3","German","0.49","286076"
"1","false","","false","false","false","1","English","1.89","398994"
"1","false","","false","true","false","1","English","0.49","287291"
"1","false","","false","false","false","1","English","0.49","282782"
"1","false","","false","false","false","3","German","0.49","1076"
"1","false","","false","false","false","1","English","0.79","391482"
"1","false","","false","false","false","3","German","0.49","241844"
"1","false","","false","true","false","1","English","0.49","375702"
"1","false","","false","false","false","1","English","0.49","252530"
"1","false","","false","false","false","1","English","0.49","297178"
"1","false","","false","false","false","1","English","0.49","454543"
"1","false","","false","false","false","3","German","0.49","288996"
"1","false","","false","false","false","3","German","0.49","2642"
"1","false","","false","false","false","3","German","4.99","292491"
"1","false","","false","false","false","3","German","0.49","362020"
"1","false","","true","false","false","1","English","0.59","11438"
"1","false","","false","false","false","1","English","0.49","261918"
"1","false","","false","false","false","3","German","0.49","21940"
"1","false","","false","false","false","3","German","0.49","242835"
"1","false","","false","false","false","1","English","0.49","257016"
"1","false","","false","false","false","3","German","0.49","258222"
"1","false","","false","false","false","3","German","0.89","13543"
"1","false","","false","false","false","3","German","0.49","10048"
"1","false","","true","false","false","1","English","0.49","258205"
"1","false","","false","false","false","1","English","0.69","20734"
"1","false","","false","false","false","1","English","0.49","360292"
"1","false","","true","false","false","1","English","0.49","290386"
"1","false","","true","false","false","1","English","0.49","432364"
"1","false","","false","false","false","1","English","0.49","287215"
"1","false","","true","false","false","3","German","2.99","254925"
"1","false","","false","false","false","1","English","0.49","261502"
"1","false","","false","false","false","3","German","0.79","283625"
"1","false","","true","false","false","3","German","0.79","269427"
"1","false","","false","false","false","1","English","0.99","19743"
"1","false","","false","false","false","3","German","0.69","12968"
"1","false","","false","false","false","3","German","0.49","22515"
"1","false","","false","false","false","3","German","0.49","290978"
"1","false","","false","false","false","3","German","0.49","19020"
"1","false","","false","false","false","1","English","0.49","250495"
"1","false","","false","false","false","3","German","0.49","247896"
"1","false","","false","false","false","1","English","0.79","10824"
"1","false","","false","false","false","3","German","0.49","2536"
"1","false","","false","false","false","1","English","1.99","22247"
"1","false","","false","true","false","3","German","0.49","372528"
"1","false","","false","false","false","3","German","0.49","21002"
"1","false","","false","false","false","1","English","0.49","21256"
"1","false","","false","false","false","3","German","0.49","245392"
"1","false","","false","false","false","3","German","0.29","513855"
"1","false","","false","false","false","3","German","0.49","289102"
"1","false","","false","false","false","1","English","0.49","269430"
"1","false","","false","false","false","3","German","0.49","3164"
"1","false","","false","false","false","1","English","0.49","14266"
"1","false","","false","false","false","3","German","0.49","399209"
"1","false","","true","false","false","1","English","2.99","445353"
"1","false","","false","false","false","1","English","0.49","17761"
"1","false","","false","false","false","1","English","1.39","11815"
"1","false","","false","false","false","1","English","0.49","372078"
"1","false","","false","false","false","3","German","0.49","11508"
"1","false","","false","false","false","1","English","0.49","358779"
"1","false","","false","false","false","1","English","0.49","273288"
"1","false","","false","false","false","1","English","0.49","285755"
"1","false","","false","true","false","1","English","0.49","287344"
"1","false","","false","false","false","3","German","0.49","191"
"1","false","","false","false","false","1","English","0.49","284764"
"1","false","","false","false","false","1","English","0.49","13275"
"1","false","","false","false","false","3","German","0.49","32"
"1","false","","false","false","false","1","English","0.49","372237"
"1","false","","false","false","false","1","English","0.49","401029"
"1","false","","true","false","false","3","German","0.89","429296"
"1","false","","false","false","false","3","German","0.49","245861"
"1","false","","false","false","false","1","English","0.49","361752"
"1","false","","true","false","false","1","English","0.79","366852"
"1","false","","false","false","false","3","German","0.79","390237"
"1","false","","false","false","false","3","German","0.49","6500"
"1","false","","false","false","false","1","English","0.49","21097"
"1","false","","false","false","false","1","English","0.49","8789"
"1","false","","false","true","false","3","German","0.49","432094"
"1","false","","false","false","false","3","German","0.49","19489"
"1","false","","true","false","false","1","English","0.49","283033"
"1","false","","false","false","false","1","English","0.49","22610"
"1","false","","false","false","false","1","English","0.49","297231"
"1","false","","false","false","false","3","German","0.29","504520"
"1","false","","false","false","false","1","English","0.49","19115"
"1","false","","false","false","false","1","English","0.49","262962"
"1","false","","false","false","false","1","English","0.49","242673"
"1","false","","false","false","false","1","English","0.49","364256"
"1","false","","false","false","false","1","English","0.49","290241"
"1","false","","false","false","false","1","English","0.49","247991"
"1","false","","false","false","false","3","German","0.49","3686"
"1","false","","false","false","false","3","German","0.49","264168"
"1","false","","false","false","false","3","German","0.49","1023"
"1","false","","false","false","false","1","English","0.49","301717"
"1","false","","true","false","false","1","English","2.99","20985"
"1","false","","false","false","false","3","German","0.49","242472"
"1","false","","false","false","false","3","German","0.49","13127"
"1","false","","false","false","false","1","English","0.49","256388"
"1","false","","false","false","false","1","English","0.49","2427"
"1","false","","false","false","false","3","German","0.49","22356"
"1","false","","false","false","false","3","German","0.49","15109"
"1","false","","false","false","false","1","English","0.49","261555"
"1","false","","false","false","false","1","English","0.89","378705"
"1","false","","false","false","false","3","German","0.49","298853"
"1","false","","false","false","false","1","English","0.49","245956"
"1","false","","true","false","false","1","English","0.49","430329"
"1","false","","false","false","false","1","English","0.49","258370"
"1","false","","false","false","false","1","English","0.49","301770"
"1","false","","true","false","false","3","German","3.99","271462"
"1","false","","false","false","false","3","German","0.49","364108"
"1","false","","false","false","false","3","German","0.49","363586"
"1","false","","false","false","false","1","English","0.49","10355"
"1","false","","false","false","false","1","English","1.59","7692"
"1","false","","false","false","false","3","German","1.99","15888"
"1","false","","false","false","false","3","German","0.79","3996"
"1","false","","false","false","false","1","English","0.49","262856"
"1","false","","false","false","false","1","English","0.49","270005"
"1","false","","true","false","false","3","German","2.39","512230"
"1","false","","false","true","false","3","German","0.49","291160"
"1","false","","false","false","false","3","German","0.29","495654"
"1","false","","false","false","false","3","German","0.49","21055"
"1","false","","false","false","false","7","Japanese","3.99","372758"
"1","false","","false","false","false","3","German","0.49","285970"
"1","false","","false","false","false","3","German","0.49","256656"
"1","false","","false","true","false","1","English","0.49","379560"
"1","false","","false","false","false","1","English","0.79","271465"
"1","false","","true","false","false","1","English","1.29","375408"
"1","false","","false","false","false","1","English","0.49","268802"
"1","false","","true","false","false","3","German","3.99","273232"
"1","false","","false","false","false","1","English","0.49","12859"
"1","false","","false","false","false","1","English","0.49","358832"
"1","false","","false","false","false","3","German","0.49","290925"
"1","false","","false","false","false","3","German","0.49","291137"
"1","false","","false","false","false","3","German","0.49","19595"
"1","false","","false","false","false","3","German","0.49","270795"
"1","false","","false","false","false","3","German","0.49","244"
"1","false","","false","false","false","3","German","0.49","454758"
"1","false","","false","false","false","3","German","0.49","287173"
"1","false","","false","false","false","1","English","0.49","19327"
"1","false","","false","false","false","1","English","0.49","269324"
"1","false","","false","false","false","3","German","0.49","289155"
"1","false","","true","false","false","1","English","1.19","267177"
"1","false","","false","false","false","1","English","0.49","245434"
"1","false","","false","false","false","3","German","0.49","13384"
"1","false","","false","false","false","1","English","0.49","284870"
"1","false","","false","false","false","1","English","0.49","14319"
"1","false","","false","false","false","1","English","0.49","269483"
"1","false","","false","false","false","3","German","0.49","17870"
"1","false","","false","false","false","1","English","0.49","250601"
"1","false","","false","true","false","3","German","0.49","504180"
"1","false","","false","false","false","1","English","0.49","282888"
"1","false","","false","true","false","3","German","0.49","289178"
"1","false","","true","false","false","1","English","1.29","401749"
"1","false","","false","false","false","3","German","0.49","285917"
"1","false","","false","false","false","1","English","0.49","7851"
"1","false","","false","false","false","3","German","0.49","250400"
"1","false","","false","false","false","3","German","0.49","19852"
"1","false","","false","false","false","1","English","4.49","372290"
"1","false","","false","false","false","1","English","0.49","445"
"1","false","","false","false","false","1","English","0.49","262334"
"1","false","","false","false","false","1","English","0.49","2268"
"1","false","","false","false","false","1","English","0.49","22557"
"1","false","","false","false","false","1","English","0.49","287374"
"1","false","","false","false","false","1","English","0.49","289197"
"1","false","","false","false","false","3","German","0.49","254727"
"1","false","","false","false","false","1","English","0.99","260095"
"1","false","","false","true","false","1","English","0.49","368084"
"1","false","","false","false","false","3","German","0.49","8898"
"1","false","","false","false","false","3","German","0.49","12083"
"1","false","","false","false","false","1","English","0.59","14682"
"1","false","","false","false","false","1","English","0.49","17867"
"1","false","","false","true","false","1","English","0.49","1043"
"1","false","","false","false","false","1","English","0.49","242045"
"1","false","","false","false","false","1","English","0.49","258529"
"1","false","","false","false","false","1","English","0.49","19849"
"1","false","","false","false","false","1","English","0.49","12700"
"1","false","","false","false","false","1","English","0.49","21831"
"1","false","","false","false","false","1","English","0.49","10718"
"1","false","","false","false","false","3","German","0.99","3633"
"1","false","","false","false","false","3","German","0.49","260098"
"1","false","","false","false","false","3","German","0.49","266044"
"1","false","","false","false","false","3","German","0.49","379548"
"1","false","","false","false","false","3","German","0.49","287377"
"1","false","","false","false","false","1","English","1.89","252583"
"1","false","","false","false","false","1","English","0.49","298328"
"1","false","","false","false","false","1","English","0.49","265882"
"1","false","","true","false","false","1","English","0.79","359605"
"1","false","","false","true","false","1","English","0.49","289273"
"1","false","","false","false","false","3","German","0.49","292544"
"1","false","","false","false","false","1","English","0.49","13903"
"1","false","","false","false","false","8","Portuguese","0.49","19493"
"1","false","","false","false","false","1","English","0.49","292798"
"1","false","","false","false","false","1","English","0.49","19168"
"1","false","","false","false","false","3","German","0.49","85"
"1","false","","false","false","false","1","English","0.49","366866"
"1","false","","false","true","false","3","German","0.49","402939"
"1","false","","false","false","false","1","English","0.49","266563"
"1","false","","false","false","false","3","German","0.49","266725"
"1","false","","false","false","false","3","German","1.99","2952"
"1","false","","false","true","false","1","English","0.49","368606"
"1","false","","false","false","false","3","German","0.49","266566"
"1","false","","false","false","false","1","English","0.49","1905"
"1","false","","false","false","false","1","English","0.49","315432"
"1","false","","false","false","false","1","English","0.49","13222"
"1","false","","false","false","false","1","English","0.49","15045"
"1","false","","false","false","false","1","English","0.49","272191"
"1","false","","false","false","false","1","English","0.49","3728"
"1","false","","false","false","false","1","English","0.49","264059"
"1","false","","false","false","false","1","English","0.49","257069"
"1","false","","false","false","false","1","English","0.49","467789"
"1","false","","false","false","false","3","German","0.49","11402"
"1","false","","false","false","false","1","English","0.49","8895"
"1","false","","false","false","false","1","English","1.39","452508"
"1","false","","true","false","false","1","English","0.79","366958"
"1","false","","false","false","false","1","English","0.49","10877"
"1","false","","false","false","false","1","English","0.49","19531"
"1","false","","false","false","false","1","English","0.49","13381"
"1","false","","false","false","false","3","German","0.79","262920"
"1","false","","false","false","false","3","German","0.29","503945"
"1","false","","false","false","false","3","German","0.49","607"
"1","false","","false","false","false","1","English","0.49","6391"
"1","false","","false","false","false","3","German","0.49","284873"
"1","false","","false","false","false","3","German","0.79","20896"
"1","false","","false","false","false","3","German","0.49","19073"
"1","false","","false","false","false","1","English","0.49","267864"
"1","false","","false","false","false","1","English","0.49","266041"
"1","false","","false","false","false","3","German","0.49","250604"
"1","false","","false","false","false","3","German","0.49","258434"
"1","false","","false","false","false","3","German","0.49","22250"
"1","false","","false","false","false","1","English","0.49","11550"
"1","false","","false","false","false","1","English","0.49","20893"
"1","false","","false","false","false","7","Japanese","0.49","2630"
"1","false","","false","false","false","1","English","1.39","271669"
