"CURRENCYID","ISALTERED","ISFIRSTED","ISFOIL","ISPLAYSET","ISSIGNED","LANGUAGEID","LANGUAGENAME","PRICE","PRODUCTID"
"1","false","","false","false","false","1","English","0.03","258476"
"1","false","","false","false","false","1","English","0.04","415841"
"1","false","","false","false","false","1","English","0.18","3312"
"1","false","","false","false","false","1","English","0.04","400454"
"1","false","","false","false","false","1","English","0.17","513640"
"1","false","","false","false","false","1","English","0.09","242098"
"1","false","","false","false","false","1","English","0.08","248044"
"1","false","","false","false","false","1","English","0.08","432219"
"1","false","","false","false","false","1","English","0.05","2321"
"1","false","","false","false","false","1","English","0.08","11762"
"1","false","","false","false","false","1","English","0.11","20681"
"1","false","","false","false","false","1","English","0.03","379590"
"1","false","","false","false","false","6","S-Chinese","0.24","267603"
"1","false","","false","false","false","1","English","0.09","10771"
"1","false","","false","false","false","1","English","0.03","364203"
"1","false","","false","false","false","1","English","0.25","21672"
"1","false","","true","false","false","1","English","0.8","443318"
"1","false","","false","false","false","1","English","0.07","420796"
"1","false","","false","false","false","1","English","0.18","294205"
"1","false","","false","false","false","1","English","0.6","291754"
"1","false","","false","false","false","1","English","0.16","6285"
"1","false","","false","false","false","1","English","0.35","12231"
"1","false","","false","false","false","1","English","0.3","250548"
"1","false","","false","false","false","1","English","0.08","358726"
"1","false","","false","false","false","1","English","0.07","16248"
"1","false","","false","false","false","1","English","0.15","487299"
"1","false","","false","false","false","1","English","0.07","273394"
"1","false","","false","false","false","1","English","0.04","259989"
"1","false","","false","false","false","6","S-Chinese","0.1","3520"
"1","false","","false","false","false","1","English","0.03","1852"
"1","false","","true","false","false","1","English","0.3","291899"
"1","false","","false","false","false","1","English","0.18","861"
"1","false","","false","false","false","1","English","0.05","19221"
"1","false","","false","false","false","1","English","0.05","282782"
"1","false","","true","false","false","1","English","0.11","294872"
"1","false","","false","false","false","1","English","0.34","240638"
"1","false","","false","false","false","1","English","0.1","2843"
"1","false","","false","false","false","1","English","1.82","22141"
"1","false","","false","false","false","1","English","0.1","293683"
"1","false","","false","false","false","1","English","0.28","266404"
"1","false","","false","false","false","1","English","2.8","9258"
