"CURRENCYID","ISALTERED","ISFIRSTED","ISFOIL","ISPLAYSET","ISSIGNED","LANGUAGEID","LANGUAGENAME","PRICE","PRODUCTID"
"1","false","","false","false","false","4","Spanish","0.1","470249"
"1","false","","false","false","false","4","Spanish","4.95","12550"
"1","false","","false","false","false","4","Spanish","4.45","298488"
"1","false","","false","false","false","1","English","0.05","258476"
"1","false","","false","false","false","1","English","0.1","415841"
"1","false","","false","false","false","1","English","0.1","400454"
"1","false","","false","false","false","1","English","0.12","360239"
"1","false","","true","false","false","1","English","1.5","451768"
"1","false","","false","false","false","1","English","0.14","376617"
"1","false","","false","false","false","1","English","0.11","513640"
"1","false","","false","false","false","4","Spanish","0.45","264741"
"1","false","","false","false","false","1","English","0.14","242098"
"1","false","","false","false","false","4","Spanish","0.1","245859"
"1","false","","false","false","false","1","English","0.1","432219"
"1","false","","false","false","false","1","English","0.14","429246"
"1","false","","false","false","false","4","Spanish","0.1","270687"
"1","false","","false","false","false","1","English","0.24","2321"
"1","false","","false","false","false","1","English","0.24","20681"
"1","false","","false","false","false","1","English","3.9","301664"
"1","false","","false","false","false","1","English","14.95","366185"
"1","false","","false","false","false","4","Spanish","0.24","247372"
"1","false","","false","false","false","1","English","0.1","379590"
"1","false","","false","false","false","1","English","0.1","296709"
"1","false","","false","false","false","1","English","0.24","10771"
"1","false","","false","false","false","1","English","0.1","364203"
"1","false","","true","false","false","1","English","0.95","443318"
"1","false","","false","false","false","1","English","0.1","420796"
"1","false","","false","false","false","1","English","0.95","291754"
"1","false","","false","false","false","1","English","17.95","319033"
"1","false","","false","false","false","1","English","1.95","250548"
"1","false","","false","false","false","1","English","0.75","419336"
"1","false","","true","false","false","1","English","2.74","484524"
"1","false","","true","false","false","1","English","1.95","300349"
"1","false","","false","false","false","1","English","0.1","358726"
"1","false","","false","false","false","1","English","0.1","487299"
"1","false","","false","false","false","1","English","0.14","273394"
"1","false","","false","false","false","1","English","0.05","259989"
"1","false","","false","false","false","1","English","14.95","372131"
"1","false","","false","false","false","1","English","1.45","301195"
"1","false","","true","false","false","1","English","0.15","291952"
"1","false","","false","false","false","1","English","0.24","1852"
"1","false","","false","false","false","1","English","0.75","372184"
"1","false","","true","false","false","1","English","0.24","291899"
"1","false","","false","false","false","1","English","12.95","242620"
"1","false","","true","true","false","1","English","0.79","12974"
"1","false","","false","false","false","1","English","0.14","19221"
"1","false","","false","false","false","1","English","0.15","498775"
"1","false","","true","false","false","1","English","0.4","16446"
"1","false","","false","false","false","4","Spanish","0.1","315388"
"1","false","","false","false","false","1","English","0.1","298169"
"1","false","","false","false","false","1","English","0.2","282782"
"1","false","","true","false","false","1","English","0.14","294872"
"1","false","","false","false","false","1","English","0.18","391482"
"1","false","","false","false","false","5","Italian","0.1","293666"
"1","false","","false","false","false","1","English","29.9","11240"
"1","false","","false","false","false","1","English","1.95","22141"
"1","false","","false","false","false","1","English","1.25","8267"
"1","false","","false","false","false","1","English","0.14","293683"
"1","false","","true","false","false","4","Spanish","3.95","451043"
"1","false","","true","false","false","1","English","0.14","355429"
"1","false","","false","false","false","1","English","0.2","466019"
"1","false","","false","false","false","5","Italian","24.95","300081"
"1","false","","false","false","false","1","English","0.75","252530"
"1","false","","false","false","false","1","English","0.95","21150"
"1","false","","true","false","false","1","English","0.47","471119"
"1","false","","false","false","false","1","English","0.1","512180"
"1","false","","true","false","false","1","English","0.14","401174"
"1","false","","false","false","false","1","English","0.14","454543"
"1","false","","false","false","false","1","English","0.05","297178"
"1","false","","false","false","false","4","Spanish","0.1","432069"
"1","false","","false","false","false","1","English","1.75","451048"
"1","false","","false","false","false","4","Spanish","0.95","251336"
"1","false","","false","false","false","1","English","0.35","261918"
"1","false","","false","false","false","1","English","3.95","12753"
"1","false","","false","false","false","1","English","0.75","319555"
"1","false","","false","false","false","1","English","0.14","257016"
"1","false","","true","false","false","5","Italian","0.15","247128"
"1","false","","false","false","false","1","English","34.95","13744"
"1","false","","true","false","false","1","English","0.24","21923"
"1","false","","true","false","false","1","English","0.2","254710"
"1","false","","true","false","false","1","English","0.45","258205"
"1","false","","false","false","false","1","English","0.35","20734"
"1","false","","true","false","false","4","Spanish","0.14","301712"
"1","false","","false","false","false","1","English","0.1","360292"
"1","false","","true","false","false","1","English","0.48","290386"
"1","false","","true","false","false","1","English","0.14","292474"
"1","false","","false","false","false","1","English","0.05","531062"
"1","false","","true","false","false","1","English","0.14","432364"
"1","false","","true","false","false","4","Spanish","0.14","360287"
"1","false","","false","false","false","1","English","0.2","287215"
"1","false","","true","false","false","1","English","0.14","301809"
"1","false","","false","false","false","1","English","0.49","261502"
"1","false","","false","false","false","1","English","0.1","375573"
"1","false","","false","false","false","1","English","0.65","13797"
"1","false","","false","false","false","1","English","1.44","19743"
"1","false","","true","false","false","4","Spanish","0.75","254454"
"1","false","","false","false","false","1","English","12.95","19637"
"1","false","","false","false","false","1","English","0.7","365247"
"1","false","","true","false","false","1","English","11.9","242243"
"1","false","","false","false","false","4","Spanish","0.14","1074"
"1","false","","false","false","false","1","English","0.45","9311"
"1","false","","false","false","false","1","English","0.2","21619"
"1","false","","true","false","false","4","Spanish","0.95","435134"
"1","false","","false","false","false","1","English","0.35","296240"
"1","false","","false","false","false","1","English","1.95","22247"
"1","false","","true","false","false","1","English","1.45","283555"
"1","false","","false","false","false","1","English","1.45","294258"
"1","false","","false","false","false","1","English","0.15","392057"
"1","false","","false","false","false","1","English","0.15","484379"
"1","false","","true","false","false","1","English","0.25","358402"
"1","false","","false","false","false","1","English","0.15","269430"
"1","false","","false","false","false","4","Spanish","0.1","315441"
"1","false","","false","false","false","1","English","0.24","14266"
"1","false","","false","false","false","1","English","0.1","473894"
"1","false","","false","false","false","1","English","0.1","422831"
"1","false","","true","false","false","1","English","2.15","445353"
"1","false","","false","false","false","1","English","0.15","372078"
"1","false","","false","false","false","1","English","0.1","471859"
"1","false","","false","false","false","1","English","0.25","358779"
"1","false","","true","false","false","1","English","0.29","260081"
"1","false","","false","false","false","1","English","0.75","1799"
"1","false","","false","false","false","1","English","0.1","417301"
"1","false","","false","false","false","1","English","0.15","273288"
"1","false","","false","false","false","1","English","0.24","285755"
"1","false","","false","false","false","1","English","12.95","19274"
"1","false","","true","false","false","1","English","0.17","291846"
"1","false","","false","false","false","1","English","0.1","284764"
"1","false","","false","false","false","1","English","0.14","13275"
"1","false","","true","false","false","1","English","0.17","374364"
"1","false","","false","false","false","1","English","0.75","808"
"1","false","","false","false","false","1","English","0.75","319502"
"1","false","","false","false","false","1","English","0.18","372237"
"1","false","","false","false","false","1","English","0.1","401029"
"1","false","","true","false","false","1","English","0.18","267071"
"1","false","","false","false","false","1","English","1.75","264944"
"1","false","","false","false","false","1","English","0.45","361752"
"1","false","","false","false","false","1","English","0.1","510145"
"1","false","","false","false","false","4","Spanish","0.14","267192"
