"CURRENCYID","ISALTERED","ISFIRSTED","ISFOIL","ISPLAYSET","ISSIGNED","LANGUAGEID","LANGUAGENAME","PRICE","PRODUCTID"
"1","false","","false","false","false","1","English","0.05","258476"
"1","false","","false","false","false","1","English","0.1","415841"
"1","false","","false","false","false","1","English","0.1","400454"
"1","false","","false","false","false","1","English","0.1","360239"
"1","false","","false","false","false","6","S-Chinese","0.2","1016"
"1","false","","true","false","false","1","English","0.75","531207"
"1","false","","false","false","false","1","English","0.1","376617"
"1","false","","true","false","false","1","English","0.11","558017"
"1","false","","false","false","false","1","English","0.1","432219"
"1","false","","false","false","false","1","English","0.13","429246"
"1","false","","false","false","false","1","English","0.13","2321"
"1","false","","false","false","false","1","English","0.1","379590"
"1","false","","false","false","false","1","English","0.11","296709"
"1","false","","false","false","false","1","English","0.1","364203"
"1","false","","true","false","false","1","English","0.46","443318"
"1","false","","false","false","false","1","English","0.1","420796"
"1","false","","true","false","false","1","English","0.15","543621"
"1","false","","false","false","false","1","English","0.15","294205"
"1","false","","false","false","false","1","English","0.3","12231"
"1","false","","false","false","false","1","English","0.15","250548"
"1","false","","true","false","false","1","English","0.18","556504"
"1","false","","false","false","false","1","English","0.34","558810"
"1","false","","false","false","false","1","English","1","247053"
"1","false","","false","false","false","1","English","0.1","358726"
"1","false","","false","false","false","1","English","0.1","487299"
"1","false","","true","false","false","4","Spanish","0.5","315586"
"1","false","","true","false","false","1","English","5.75","290961"
"1","false","","false","false","false","1","English","0.06","273394"
"1","false","","false","false","false","1","English","0.1","259989"
"1","false","","false","false","false","1","English","10","372131"
"1","false","","true","false","false","1","English","0.15","291952"
"1","false","","false","false","false","1","English","0.1","1852"
"1","false","","false","false","false","1","English","0.38","557350"
"1","false","","false","false","false","1","English","0.1","19221"
"1","false","","false","false","false","1","English","0.12","498775"
"1","false","","false","false","false","1","English","0.05","298169"
"1","false","","false","false","false","1","English","0.18","391482"
"1","false","","false","false","false","1","English","1.56","22141"
"1","false","","false","false","false","1","English","0.39","266404"
"1","false","","false","false","false","5","Italian","0.09","13152"
"1","false","","true","false","false","1","English","3.45","514360"
"1","false","","false","false","false","1","English","0.17","252530"
"1","false","","true","false","false","1","English","0.2","453228"
"1","false","","false","false","false","1","English","0.1","512180"
"1","false","","true","false","false","1","English","0.19","401174"
"1","false","","false","false","false","1","English","0.13","454543"
"1","false","","false","false","false","1","English","0.05","297178"
"1","false","","false","false","false","1","English","0.1","257016"
"1","false","","true","false","false","1","English","2.74","371807"
"1","false","","true","false","false","1","English","0.39","258205"
"1","false","","false","false","false","1","English","0.1","360292"
"1","false","","false","false","false","1","English","0.1","531062"
"1","false","","true","false","false","1","English","0.84","476649"
"1","false","","true","false","false","1","English","0.15","432364"
"1","false","","true","false","false","3","German","3","254925"
"1","false","","true","false","false","1","English","0.14","301809"
"1","false","","false","false","false","1","English","0.2","261502"
"1","false","","false","false","false","1","English","2.35","548431"
"1","false","","false","false","false","1","English","0.1","375573"
"1","false","","true","false","false","1","English","3.99","13889"
"1","false","","false","false","false","1","English","1.3","503155"
"1","false","","true","false","false","1","English","7.5","242243"
"1","false","","false","false","false","1","English","0.15","250495"
"1","false","","false","false","false","4","Spanish","0.2","288994"
"1","false","","false","false","false","1","English","0.21","435139"
"1","false","","false","false","false","1","English","31","7329"
"1","false","","false","false","false","7","Japanese","0.05","372130"
"1","false","","false","false","false","1","English","0.17","392057"
"1","false","","false","false","false","1","English","0.19","484379"
"1","false","","true","false","false","1","English","0.15","358402"
"1","false","","false","false","false","1","English","0.17","269430"
"1","false","","false","false","false","1","English","0.1","473894"
"1","false","","false","false","false","1","English","0.1","422831"
"1","false","","false","false","false","1","English","0.1","17761"
"1","false","","false","false","false","1","English","0.39","11815"
"1","false","","false","false","false","1","English","0.12","372078"
"1","false","","false","false","false","1","English","0.1","471859"
"1","false","","false","false","false","1","English","0.1","417301"
"1","false","","false","false","false","1","English","0.14","284764"
"1","false","","true","false","false","1","English","0.22","262063"
"1","false","","true","false","false","1","English","0.24","374364"
"1","false","","false","false","false","1","English","0.15","372237"
"1","false","","false","false","false","1","English","0.12","261971"
"1","false","","false","false","false","1","English","0.1","401029"
"1","false","","true","false","false","1","English","0.18","267071"
"1","false","","true","false","false","1","English","0.14","557495"
"1","false","","false","false","false","1","English","0.35","361752"
"1","false","","true","false","false","1","English","0.19","366852"
"1","false","","false","false","false","1","English","0.1","510145"
"1","false","","true","false","false","1","English","0.76","283033"
"1","false","","false","false","false","1","English","0.1","22610"
"1","false","","false","false","false","1","English","0.1","7798"
"1","false","","false","false","false","1","English","0.1","297231"
"1","false","","false","false","false","1","English","0.1","293736"
"1","false","","false","false","false","1","English","0.1","269952"
"1","false","","false","false","false","1","English","0.1","496165"
"1","false","","true","false","false","1","English","0.15","292837"
"1","false","","false","false","false","1","English","0.1","262962"
"1","false","","false","false","false","1","English","0.1","364256"
"1","false","","false","false","false","1","English","0.09","290241"
"1","false","","true","false","false","1","English","1.96","245269"
"1","false","","false","false","false","1","English","0.1","247991"
"1","false","","false","false","false","1","English","0.12","368583"
"1","false","","false","false","false","5","Italian","1.4","264768"
"1","false","","false","false","false","1","English","0.09","542901"
"1","false","","false","false","false","1","English","0.16","314025"
"1","false","","false","false","false","1","English","9","11293"
"1","false","","true","false","false","1","English","0.2","451193"
"1","false","","false","false","false","1","English","0.1","301717"
"1","false","","false","false","false","1","English","0.1","14788"
"1","false","","true","false","false","1","English","2.1","532092"
"1","false","","false","false","false","1","English","0.15","533097"
"1","false","","false","false","false","1","English","3","13638"
"1","false","","false","false","false","1","English","0.1","504305"
"1","false","","false","false","false","1","English","0.1","256388"
"1","false","","true","false","false","7","Japanese","0.9","455368"
"1","false","","false","false","false","1","English","0.15","2427"
"1","false","","false","false","false","1","English","0.1","313972"
"1","false","","false","false","false","1","English","0.1","431334"
"1","false","","false","false","false","1","English","0.05","261555"
"1","false","","false","false","false","1","English","0.45","378705"
"1","false","","true","false","false","1","English","0.14","364295"
"1","false","","false","false","false","1","English","0.1","245956"
"1","false","","false","false","false","1","English","0.14","494864"
"1","false","","true","false","false","1","English","0.14","430329"
"1","false","","false","false","false","1","English","0.49","473319"
"1","false","","false","false","false","1","English","0.08","258370"
"1","false","","false","false","false","1","English","0.1","301770"
"1","false","","false","false","false","1","English","0.11","14841"
"1","false","","true","false","false","1","English","0.14","368259"
"1","false","","false","false","false","5","Italian","0.11","13258"
"1","false","","false","false","false","1","English","0.15","366601"
"1","false","","true","false","false","1","English","0.15","271663"
"1","false","","false","false","false","1","English","0.1","453968"
"1","false","","false","false","false","1","English","0.1","268802"
"1","false","","true","false","false","1","English","5.5","547691"
"1","false","","false","false","false","1","English","0.1","358832"
"1","false","","false","false","false","1","English","0.1","455428"
"1","false","","true","false","false","1","English","0.15","472004"
"1","false","","false","false","false","1","English","0.1","486414"
"1","false","","true","false","false","1","English","0.17","260028"
"1","false","","false","false","false","1","English","0.14","514994"
"1","false","","false","false","false","1","English","0.06","291860"
"1","false","","false","false","false","1","English","0.11","19327"
"1","false","","false","false","false","1","English","0.09","702"
"1","false","","false","false","false","1","English","0.05","269324"
"1","false","","true","false","false","1","English","0.14","495584"
"1","false","","true","false","false","1","English","0.99","267177"
"1","false","","false","false","false","1","English","0.1","245434"
"1","false","","false","false","false","1","English","0.1","284870"
"1","false","","false","false","false","1","English","0.89","12178"
"1","false","","false","false","false","1","English","0.1","273235"
"1","false","","false","false","false","1","English","0.28","14319"
"1","false","","false","false","false","1","English","0.1","269483"
"1","false","","true","false","false","1","English","0.14","269522"
"1","false","","false","false","false","1","English","0.1","250601"
"1","false","","false","false","false","1","English","0.1","264838"
"1","false","","false","false","false","1","English","0.1","421681"
"1","false","","false","false","false","1","English","0.09","296762"
"1","false","","true","false","false","1","English","0.12","495319"
"1","false","","false","false","false","1","English","0.14","7851"
"1","false","","false","false","false","7","Japanese","0.06","372077"
"1","false","","true","false","false","1","English","2.49","543046"
"1","false","","false","false","false","1","English","0.1","535548"
"1","false","","false","false","false","1","English","0.1","2684"
"1","false","","false","false","false","1","English","0.09","294364"
"1","false","","false","false","false","1","English","0.1","262334"
"1","false","","false","false","false","1","English","0.15","22557"
"1","false","","false","false","false","1","English","0.07","287374"
"1","false","","false","false","false","1","English","0.1","289197"
"1","false","","true","false","false","1","English","0.15","372223"
"1","false","","false","false","false","1","English","0.1","438324"
"1","false","","false","false","false","1","English","0.49","271987"
"1","false","","false","false","false","1","English","0.49","558757"
"1","false","","false","false","false","1","English","0.1","417876"
"1","false","","false","false","false","1","English","0.08","17867"
"1","false","","false","false","false","1","English","0.1","242045"
"1","false","","true","false","false","1","English","0.14","452918"
"1","false","","false","false","false","1","English","0.1","368530"
"1","false","","false","false","false","1","English","0.11","258529"
"1","false","","true","false","false","1","English","0.17","244225"
"1","false","","false","false","false","1","English","0.12","19849"
"1","false","","false","false","false","1","English","0.2","12700"
"1","false","","true","false","false","1","English","4.99","291271"
"1","false","","true","false","false","1","English","0.22","556867"
"1","false","","false","false","false","1","English","10.43","466329"
"1","false","","false","false","false","1","English","0.77","9417"
"1","false","","true","false","false","1","English","0.15","472269"
"1","false","","false","false","false","1","English","4","497890"
"1","false","","true","false","false","5","Italian","20","2971"
"1","false","","false","false","false","1","English","0.1","298328"
"1","false","","false","false","false","1","English","0.09","265882"
"1","false","","false","false","false","1","English","0.15","22035"
"1","false","","true","false","false","1","English","0.49","359605"
"1","false","","false","false","false","1","English","0.1","13903"
"1","false","","false","false","false","1","English","0.12","292798"
"1","false","","true","false","false","1","English","0.44","250693"
"1","false","","false","false","false","9","Russian","0.12","371809"
"1","false","","true","false","false","1","English","0.14","496000"
"1","false","","false","false","false","1","English","0.1","266563"
"1","false","","false","false","false","1","English","0.18","301611"
"1","false","","false","false","false","1","English","0.14","461639"
"1","false","","false","false","false","1","English","0.1","401914"
"1","false","","false","false","false","1","English","0.08","557138"
"1","false","","false","false","false","1","English","0.1","361858"
"1","false","","true","false","false","1","English","1.45","476074"
"1","false","","false","false","false","1","English","0.1","315432"
"1","false","","false","false","false","1","English","0.14","529337"
"1","false","","true","false","false","1","English","0.9","530632"
"1","false","","false","false","false","1","English","0.24","15045"
"1","false","","false","false","false","1","English","0.1","559120"
"1","false","","false","false","false","1","English","0.1","474779"
"1","false","","false","false","false","1","English","0.18","3728"
"1","false","","false","false","false","1","English","0.1","264059"
"1","false","","false","false","false","1","English","0.1","257069"
"1","false","","false","false","false","1","English","0.12","467789"
"1","false","","false","false","false","1","English","0.15","423406"
"1","false","","false","false","false","1","English","0.1","416416"
"1","false","","true","false","false","1","English","0.15","469084"
"1","false","","false","false","false","1","English","0.75","452508"
"1","false","","true","false","false","1","English","0.15","366958"
"1","false","","false","false","false","1","English","0.33","240426"
"1","false","","true","false","false","1","English","0.14","455263"
"1","false","","false","false","false","1","English","0.11","19531"
"1","false","","true","false","false","1","English","0.14","558070"
