"CURRENCYID","ISALTERED","ISFIRSTED","ISFOIL","ISPLAYSET","ISSIGNED","LANGUAGEID","LANGUAGENAME","PRICE","PRODUCTID"
"1","false","","true","false","false","1","English","0.39","319231"
"1","false","","false","false","false","3","German","0.29","497530"
"1","false","","false","false","false","1","English","0.29","258476"
"1","false","","false","false","false","3","German","0.19","510935"
"1","false","","false","false","false","1","English","0.29","415841"
"1","false","","true","false","false","1","English","0.49","290439"
"1","false","","false","false","false","1","English","0.49","3312"
"1","false","","false","false","false","1","English","0.39","400454"
"1","false","","false","false","false","1","English","0.29","360239"
"1","false","","true","false","false","3","German","24.99","13219"
"1","false","","false","false","false","1","English","0.29","376617"
"1","false","","true","false","false","3","German","0.35","297175"
"1","false","","false","false","false","1","English","0.39","242098"
"1","false","","false","false","false","1","English","0.19","432219"
"1","false","","false","false","false","1","English","0.29","429246"
"1","false","","false","false","false","3","German","0.99","245339"
"1","false","","false","false","false","1","English","0.39","2321"
"1","false","","false","false","false","1","English","0.39","11762"
"1","false","","false","false","false","1","English","0.49","20681"
"1","false","","false","false","false","1","English","3.49","301664"
"1","false","","false","false","false","1","English","0.29","379590"
"1","false","","false","false","false","1","English","0.99","296709"
"1","false","","false","false","false","3","German","0.29","289049"
"1","false","","false","false","false","1","English","0.39","10771"
"1","false","","false","false","false","1","English","0.29","364203"
"1","false","","true","false","false","3","German","19.99","496215"
"1","false","","false","false","false","1","English","0.29","420796"
"1","false","","true","false","false","1","English","0.39","543621"
"1","false","","false","false","false","1","English","0.49","291754"
"1","false","","false","false","false","1","English","0.79","12231"
"1","false","","false","false","false","1","English","0.29","358726"
"1","false","","false","false","false","1","English","0.49","16248"
"1","false","","true","false","false","1","English","0.62","319753"
"1","false","","false","false","false","9","Russian","0.39","375357"
"1","false","","true","false","false","7","Japanese","0.41","283032"
"1","false","","false","false","false","1","English","0.29","273394"
"1","false","","false","false","false","1","English","0.29","259989"
"1","false","","false","false","false","1","English","1.12","301195"
"1","false","","true","false","false","1","English","0.29","291952"
"1","false","","false","false","false","1","English","0.39","1852"
"1","false","","false","false","false","1","English","0.29","372184"
"1","false","","false","false","false","3","German","15.99","495079"
"1","false","","false","false","false","3","German","0.29","256293"
"1","false","","false","false","false","1","English","0.39","19221"
"1","false","","false","false","false","1","English","3.71","398994"
"1","false","","false","false","false","1","English","0.29","282782"
"1","false","","true","false","false","1","English","0.29","294872"
"1","false","","false","false","false","3","German","28.73","466234"
"1","false","","true","false","false","1","English","1.79","327159"
"1","false","","false","false","false","1","English","0.39","422256"
"1","false","","true","false","false","3","German","0.39","289194"
"1","false","","false","false","false","1","English","1.99","22141"
"1","false","","false","false","false","1","English","0.81","266404"
"1","false","","true","false","false","1","English","0.29","355429"
"1","false","","true","false","false","1","English","3.99","514360"
"1","false","","false","false","false","1","English","0.49","466019"
"1","false","","false","false","false","1","English","0.49","252530"
"1","false","","true","false","false","1","English","0.59","471119"
"1","false","","false","false","false","1","English","0.39","10249"
"1","false","","true","false","false","1","English","0.39","453228"
"1","false","","false","false","false","1","English","0.19","512180"
"1","false","","true","false","false","1","English","0.49","401174"
"1","false","","false","false","false","1","English","0.29","297178"
"1","false","","false","false","false","3","German","0.39","288996"
"1","false","","true","false","false","1","English","1.71","468199"
"1","false","","false","false","false","3","German","4.19","292491"
