"CURRENCYID","ISALTERED","ISFIRSTED","ISFOIL","ISPLAYSET","ISSIGNED","LANGUAGEID","LANGUAGENAME","PRICE","PRODUCTID"
"1","false","","false","false","false","1","English","0.14","258476"
"1","false","","false","false","false","1","English","0.24","400454"
"1","false","","false","false","false","1","English","0.14","360239"
"1","false","","false","false","false","2","French","0.22","8152"
"1","false","","false","false","false","1","English","0.14","376617"
"1","false","","true","false","false","1","English","1.96","379788"
"1","false","","false","false","false","1","English","0.24","513640"
"1","false","","false","false","false","1","English","0.12","242098"
"1","false","","true","false","false","1","English","0.19","558017"
"1","false","","true","false","false","2","French","20.99","20764"
"1","false","","false","false","false","2","French","0.22","10134"
"1","false","","false","false","false","1","English","0.24","432219"
"1","false","","false","false","false","1","English","0.24","429246"
"1","false","","false","false","false","1","English","0.14","11762"
"1","false","","false","false","false","1","English","0.22","20681"
"1","false","","false","false","false","2","French","2.24","13629"
"1","false","","false","false","false","1","English","0.14","379590"
"1","false","","false","false","false","1","English","0.34","296709"
"1","false","","false","false","false","2","French","1.49","258361"
"1","false","","false","false","false","1","English","0.14","10771"
"1","false","","false","false","false","1","English","0.24","364203"
"1","false","","false","false","false","1","English","3.99","267395"
"1","false","","false","false","false","1","English","0.24","9780"
"1","false","","true","false","false","1","English","0.19","543621"
"1","false","","false","false","false","1","English","1.59","291754"
"1","false","","true","false","false","2","French","0.57","19773"
"1","false","","false","false","false","2","French","0.39","267802"
"1","false","","false","false","false","7","Japanese","0.19","10770"
"1","false","","false","false","false","1","English","0.22","6285"
"1","false","","false","false","false","1","English","0.37","12231"
"1","false","","true","false","false","1","English","0.89","556504"
"1","false","","true","false","false","1","English","4.74","484524"
"1","false","","true","false","false","1","English","1.76","300349"
"1","false","","false","false","false","1","English","0.49","558810"
"1","false","","false","false","false","1","English","0.96","247053"
"1","false","","false","false","false","1","English","0.22","16248"
"1","false","","false","false","false","1","English","0.19","487299"
"1","false","","true","false","false","1","English","6.49","290961"
"1","false","","false","false","false","1","English","0.14","273394"
"1","false","","false","false","false","6","S-Chinese","0.13","3520"
"1","false","","false","false","false","1","English","0.12","1852"
"1","false","","false","false","false","1","English","1.79","372184"
"1","false","","false","false","false","2","French","3.99","8674"
"1","false","","false","false","false","1","English","1.07","557350"
"1","false","","false","false","false","2","French","4.99","264829"
"1","false","","false","false","false","1","English","0.17","861"
"1","false","","true","false","false","1","English","1.49","262116"
"1","false","","false","false","false","1","English","0.12","19221"
"1","false","","false","false","false","1","English","2.99","398994"
"1","false","","false","false","false","2","French","0.39","259821"
"1","false","","false","false","false","1","English","0.14","498775"
"1","false","","false","false","false","2","French","0.14","16080"
"1","false","","false","false","false","1","English","0.24","298169"
"1","false","","false","false","false","1","English","0.14","282782"
"1","false","","false","false","false","2","French","0.24","10656"
"1","false","","false","false","false","1","English","0.49","391482"
"1","false","","false","false","false","2","French","2.24","693"
"1","false","","false","false","false","1","English","0.39","293683"
"1","false","","false","false","false","1","English","0.49","266404"
"1","false","","false","false","false","1","English","16.99","9258"
"1","false","","false","false","false","1","English","0.39","466019"
"1","false","","true","false","false","2","French","27.99","374718"
"1","false","","false","false","false","1","English","0.39","252530"
"1","false","","false","false","false","1","English","0.29","21150"
"1","false","","false","false","false","1","English","0.14","10249"
"1","false","","true","false","false","1","English","0.25","453228"
"1","false","","false","false","false","1","English","0.14","512180"
"1","false","","true","false","false","1","English","0.22","401174"
"1","false","","false","false","false","1","English","0.24","454543"
"1","false","","false","false","false","1","English","0.14","297178"
"1","false","","true","false","false","8","Portuguese","1.73","21779"
"1","false","","false","false","false","1","English","2","451048"
"1","false","","false","false","false","1","English","0.29","261918"
"1","false","","false","false","false","1","English","0.39","319555"
