"CURRENCYID","ISALTERED","ISFIRSTED","ISFOIL","ISPLAYSET","ISSIGNED","LANGUAGEID","LANGUAGENAME","PRICE","PRODUCTID"
"1","false","","true","false","false","1","English","0.99","319231"
"1","false","","true","false","false","1","English","0.99","19888"
"1","false","","false","false","false","1","English","0.15","258476"
"1","false","","false","false","false","1","English","2.49","339"
"1","false","","false","false","false","1","English","0.59","3312"
"1","false","","false","false","false","1","English","0.25","400454"
"1","false","","false","false","false","1","English","0.15","360239"
"1","false","","true","false","false","1","English","3.99","451768"
"1","false","","false","false","false","1","English","0.49","242098"
"1","false","","false","false","false","1","English","0.15","248044"
"1","false","","false","false","false","1","English","0.25","432219"
"1","false","","false","false","false","1","English","0.99","429246"
"1","false","","false","false","false","1","English","0.2","2321"
"1","false","","true","false","false","1","English","3.99","21870"
"1","false","","false","false","false","1","English","0.15","11762"
"1","false","","false","false","false","1","English","0.25","20681"
"1","false","","false","false","false","1","English","4.99","301664"
"1","false","","false","false","false","1","English","34.99","298691"
"1","false","","false","false","false","1","English","19.99","366185"
"1","false","","false","false","false","1","English","0.15","379590"
"1","false","","false","false","false","1","English","0.25","296709"
"1","false","","false","false","false","2","French","1.79","258361"
"1","false","","false","false","false","1","English","0.15","10771"
"1","false","","false","false","false","1","English","0.25","364203"
"1","false","","false","false","false","1","English","0.5","9780"
"1","false","","false","false","false","1","English","0.35","294205"
"1","false","","false","false","false","1","English","0.39","6285"
"1","false","","false","false","false","1","English","34.99","319033"
"1","false","","false","false","false","1","English","0.99","12231"
"1","false","","false","false","false","1","English","1.49","250548"
"1","false","","true","false","false","1","English","12.99","484524"
"1","false","","true","false","false","1","English","1.99","300349"
"1","false","","false","false","false","1","English","1.49","247053"
"1","false","","false","false","false","1","English","0.25","358726"
"1","false","","false","false","false","1","English","0.35","16248"
"1","false","","true","false","false","1","English","9.99","290961"
"1","false","","false","false","false","1","English","0.25","273394"
"1","false","","false","false","false","1","English","0.15","259989"
"1","false","","false","false","false","1","English","9.99","372131"
"1","false","","false","false","false","1","English","1.99","301195"
"1","false","","false","false","false","1","English","0.3","1852"
"1","false","","false","false","false","1","English","1.99","372184"
"1","false","","false","false","false","1","English","0.35","861"
"1","false","","false","false","false","1","English","0.15","19221"
"1","false","","false","false","false","1","English","0.25","298169"
"1","false","","false","false","false","1","English","0.25","282782"
"1","false","","true","false","false","1","English","0.49","294872"
"1","false","","false","false","false","1","English","0.99","391482"
"1","false","","false","false","false","1","English","0.99","240638"
"1","false","","false","false","false","1","English","0.2","2843"
"1","false","","false","false","false","1","English","59.99","11240"
