"CURRENCYID","ISALTERED","ISFIRSTED","ISFOIL","ISPLAYSET","ISSIGNED","LANGUAGEID","LANGUAGENAME","PRICE","PRODUCTID"
"1","false","","false","false","false","7","Japanese","0.75","14995"
"1","false","","false","false","false","2","French","0.25","284910"
"1","false","","false","false","false","1","English","0.35","266665"
"1","false","","true","false","false","1","English","2.99","253458"
"1","false","","false","false","false","1","English","0.19","400454"
"1","false","","false","false","false","1","English","0.15","360239"
"1","false","","false","false","false","1","English","0.09","290502"
"1","false","","false","false","false","1","English","0.49","19951"
"1","false","","true","false","false","1","English","2.49","360176"
"1","false","","true","false","false","1","English","2.99","21870"
"1","false","","false","false","false","9","Russian","0.25","289189"
"1","false","","false","false","false","1","English","0.09","301403"
"1","false","","false","false","false","1","English","0.35","22663"
"1","false","","false","false","false","1","English","1.25","78"
"1","false","","false","false","false","1","English","0.25","296709"
"1","false","","false","false","false","1","English","0.19","364203"
"1","false","","false","false","false","1","English","6.99","273133"
"1","false","","false","false","false","1","English","2.49","13014"
"1","false","","false","false","false","1","English","0.49","315330"
"1","false","","false","false","false","7","Japanese","0.15","284816"
"1","false","","true","false","false","1","English","3.49","265872"
"1","false","","true","false","false","1","English","0.99","259926"
"1","false","","true","false","false","1","English","0.25","372121"
"1","false","","false","false","false","1","English","0.49","12231"
"1","false","","false","false","false","1","English","2.99","403949"
"1","false","","false","false","false","8","Portuguese","0.35","284465"
"1","false","","false","false","false","1","English","0.49","17969"
"1","false","","true","false","false","1","English","1.99","300349"
"1","false","","false","false","false","1","English","0.25","283565"
"1","false","","false","false","false","1","English","0.99","2582"
"1","false","","false","false","false","1","English","0.25","16248"
"1","false","","false","false","false","1","English","0.09","273394"
"1","false","","false","false","false","1","English","0.09","259989"
"1","false","","false","false","false","1","English","0.15","250756"
"1","false","","true","false","false","1","English","0.25","269367"
"1","false","","false","false","false","1","English","0.09","1852"
"1","false","","false","false","false","1","English","0.75","372184"
"1","false","","false","false","false","1","English","0.15","264161"
"1","false","","true","false","false","1","English","0.35","273331"
"1","false","","true","false","false","1","English","0.25","471849"
"1","false","","false","false","false","1","English","0.19","282782"
"1","false","","true","false","false","1","English","0.25","294872"
"1","false","","false","false","false","1","English","0.15","295926"
"1","false","","true","false","false","1","English","2.99","404824"
"1","false","","false","false","false","1","English","1.99","22141"
"1","false","","false","false","false","1","English","0.25","2113"
"1","false","","false","false","false","1","English","0.49","266404"
"1","false","","false","false","false","6","S-Chinese","0.09","289197"
"1","false","","false","false","false","1","English","0.09","371870"
"1","false","","false","false","false","1","English","0.49","21150"
"1","false","","false","false","false","7","Japanese","0.49","264213"
"1","false","","true","false","false","1","English","0.25","401174"
"1","false","","false","false","false","1","English","0.09","297178"
"1","false","","false","false","false","1","English","0.25","3520"
"1","false","","false","false","false","1","English","0.15","290449"
"1","false","","false","false","false","1","English","0.2","261918"
"1","false","","false","false","false","2","French","7.99","245947"
"1","false","","false","false","false","1","English","0.25","283043"
"1","false","","false","false","false","1","English","0.09","257016"
"1","false","","false","false","false","3","German","0.49","435199"
"1","false","","true","false","false","9","Russian","5.99","260126"
"1","false","","false","false","false","1","English","0.35","271151"
"1","false","","false","false","false","7","Japanese","0.29","288988"
"1","false","","true","false","false","1","English","0.25","242818"
"1","false","","true","false","false","1","English","0.35","368573"
"1","false","","false","false","false","1","English","0.09","360292"
"1","false","","false","false","false","1","English","0.99","286"
"1","false","","false","false","false","7","Japanese","0.25","15048"
"1","false","","false","false","false","1","English","0.49","287215"
"1","false","","false","false","false","7","Japanese","0.99","273079"
"1","false","","true","false","false","1","English","0.25","301809"
"1","false","","false","false","false","1","English","0.99","7590"
"1","false","","false","false","false","1","English","0.49","282990"
"1","false","","false","false","false","1","English","0.49","13797"
"1","false","","false","false","false","1","English","2.99","254198"
"1","false","","false","false","false","1","English","8.99","19637"
"1","false","","false","false","false","10","Korean","0.99","262254"
"1","false","","false","false","false","1","English","1.25","2529"
"1","false","","false","false","false","1","English","1.99","18022"
"1","false","","true","false","false","6","S-Chinese","4.99","21764"
"1","false","","false","false","false","6","S-Chinese","0.09","289144"
"1","false","","false","false","false","1","English","0.09","547"
"1","false","","false","false","false","5","Italian","0.35","284747"
"1","false","","true","false","false","1","English","0.25","261961"
"1","false","","true","false","false","1","English","1.99","261333"
"1","false","","false","false","false","1","English","0.49","261241"
"1","false","","false","false","false","7","Japanese","0.15","264266"
"1","false","","false","false","false","3","German","1.99","404739"
"1","false","","false","false","false","1","English","0.09","242775"
"1","false","","true","false","false","1","English","0.49","301548"
"1","false","","true","false","false","1","English","0.99","292735"
"1","false","","false","false","false","5","Italian","0.19","15081"
"1","false","","false","false","false","5","Italian","0.99","293821"
"1","false","","false","false","false","1","English","0.35","247261"
"1","false","","false","false","false","1","English","0.15","371976"
"1","false","","false","false","false","1","English","0.25","269430"
"1","false","","true","false","false","6","S-Chinese","1.99","15035"
"1","false","","false","false","false","1","English","3.49","14058"
"1","false","","true","false","false","1","English","0.35","291116"
"1","false","","false","false","false","1","English","0.25","8320"
"1","false","","false","false","false","3","German","1.49","15472"
"1","false","","false","false","false","1","English","0.15","265727"
"1","false","","false","false","false","1","English","0.09","271673"
"1","false","","false","false","false","1","English","0.19","372078"
"1","false","","true","false","false","1","English","0.25","257006"
"1","false","","false","false","false","1","English","0.15","8059"
"1","false","","false","false","false","1","English","0.15","273288"
"1","false","","false","false","false","1","English","10.99","19274"
"1","false","","false","false","false","7","Japanese","0.99","272557"
"1","false","","false","false","false","10","Korean","9.99","251300"
"1","false","","true","false","false","1","English","0.49","250746"
"1","false","","false","false","false","1","English","3.99","240430"
"1","false","","false","false","false","1","English","0.19","363995"
"1","false","","false","false","false","1","English","0.19","264214"
"1","false","","true","false","false","1","English","0.25","262063"
"1","false","","false","false","false","1","English","0.09","290971"
"1","false","","false","false","false","1","English","0.49","283512"
"1","false","","true","false","false","1","English","0.25","259979"
"1","false","","true","false","false","1","English","0.39","289032"
"1","false","","false","false","false","9","Russian","0.25","284911"
"1","false","","false","false","false","1","English","0.49","372237"
"1","false","","false","false","false","1","English","0.19","261971"
"1","false","","false","false","false","1","English","0.19","401029"
"1","false","","false","false","false","1","English","0.25","15049"
"1","false","","false","false","false","11","T-Chinese","0.09","288668"
"1","false","","true","false","false","1","English","0.99","285015"
"1","false","","true","false","false","1","English","0.25","242765"
"1","false","","false","false","false","1","English","0.25","371817"
"1","false","","false","false","false","1","English","0.99","315277"
"1","false","","false","false","false","1","English","0.49","245907"
"1","false","","true","false","false","1","English","0.99","259820"
"1","false","","false","false","false","6","S-Chinese","0.99","245903"
"1","false","","true","false","false","1","English","0.25","283033"
"1","false","","false","false","false","1","English","1.25","252477"
"1","false","","false","false","false","1","English","0.09","297231"
