"CURRENCYID","ISALTERED","ISFIRSTED","ISFOIL","ISPLAYSET","ISSIGNED","LANGUAGEID","LANGUAGENAME","PRICE","PRODUCTID"
"1","false","","true","false","false","4","Spanish","0.2","258471"
"1","false","","false","false","false","4","Spanish","0.1","470249"
"1","false","","false","false","false","4","Spanish","3.95","298488"
"1","false","","false","false","false","1","English","0.1","400454"
"1","false","","false","false","false","1","English","0.1","360239"
"1","false","","false","false","false","4","Spanish","0.1","271678"
"1","false","","false","false","false","1","English","0.1","376617"
"1","false","","false","false","false","1","English","0.15","432219"
"1","false","","false","false","false","1","English","0.15","429246"
"1","false","","false","false","false","1","English","9.95","366185"
"1","false","","false","false","false","1","English","0.1","379590"
"1","false","","true","false","false","4","Spanish","0.3","378594"
"1","false","","false","false","false","1","English","0.13","296709"
"1","false","","false","false","false","1","English","0.19","364203"
"1","false","","true","false","false","1","English","0.95","443318"
"1","false","","true","false","false","4","Spanish","0.14","496735"
"1","false","","true","false","false","4","Spanish","1.99","291227"
"1","false","","false","false","false","1","English","0.16","294205"
"1","false","","false","false","false","4","Spanish","0.2","378396"
"1","false","","false","false","false","1","English","2.95","4825"
"1","false","","false","false","false","1","English","0.95","419336"
"1","false","","true","false","false","4","Spanish","3.45","372126"
"1","false","","false","false","false","1","English","0.1","358726"
"1","false","","true","false","false","4","Spanish","0.3","315586"
"1","false","","false","false","false","1","English","0.1","273394"
"1","false","","true","false","false","1","English","0.15","291952"
"1","false","","false","false","false","1","English","0.35","372184"
"1","false","","true","false","false","4","Spanish","0.99","242615"
"1","false","","true","false","false","1","English","0.25","291899"
"1","false","","false","false","false","5","Italian","0.1","264821"
"1","false","","false","false","false","4","Spanish","0.15","495599"
"1","false","","true","false","false","4","Spanish","0.3","269425"
"1","false","","false","false","false","4","Spanish","0.12","315388"
"1","false","","false","false","false","1","English","0.1","298169"
"1","false","","false","false","false","1","English","0.1","282782"
"1","false","","true","false","false","1","English","0.19","294872"
"1","false","","false","false","false","1","English","0.3","391482"
"1","false","","true","false","false","4","Spanish","0.35","257011"
"1","false","","false","false","false","4","Spanish","1.95","542751"
