"CURRENCYID","ISALTERED","ISFIRSTED","ISFOIL","ISPLAYSET","ISSIGNED","LANGUAGEID","LANGUAGENAME","PRICE","PRODUCTID"
"1","false","","true","false","false","1","English","0.5","319231"
"1","false","","false","false","false","1","English","0.5","258476"
"1","false","","true","false","false","1","English","0.5","290439"
"1","false","","false","false","false","1","English","0.3","400454"
"1","false","","false","false","false","1","English","0.5","360239"
"1","false","","true","false","false","1","English","0.9","531207"
"1","false","","true","false","false","3","German","0.5","805"
"1","false","","false","false","false","1","English","0.75","376617"
"1","false","","false","false","false","1","English","0.5","513640"
"1","false","","false","false","false","1","English","0.6","242098"
"1","false","","false","false","false","3","German","0.6","9057"
"1","false","","false","false","false","1","English","0.6","248044"
"1","false","","false","false","false","1","English","7.04","529027"
"1","false","","false","false","false","3","German","0.5","267194"
"1","false","","false","false","false","1","English","0.3","432219"
"1","false","","false","false","false","1","English","0.4","429246"
"1","false","","false","false","false","1","English","0.6","2321"
"1","false","","true","false","false","1","English","1.4","21870"
"1","false","","false","false","false","1","English","1.69","14735"
"1","false","","false","false","false","1","English","0.6","11762"
"1","false","","false","false","false","1","English","0.6","20681"
"1","false","","false","false","false","1","English","2.96","301664"
"1","false","","false","false","false","1","English","20.02","298691"
"1","false","","false","false","false","3","German","0.6","247843"
"1","false","","false","false","false","1","English","10.33","366185"
"1","false","","false","false","false","1","English","0.5","379590"
"1","false","","false","false","false","1","English","0.5","296709"
"1","false","","false","false","false","1","English","0.6","10771"
"1","false","","false","false","false","1","English","0.5","364203"
"1","false","","false","false","false","1","English","0.5","21672"
"1","false","","false","false","false","3","German","0.6","19958"
"1","false","","true","false","false","1","English","0.5","443318"
"1","false","","false","false","false","1","English","0.6","9780"
"1","false","","true","false","false","1","English","0.3","543621"
"1","false","","false","false","false","1","English","0.55","291754"
"1","false","","false","false","false","3","German","0.6","16516"
"1","false","","false","false","false","1","English","0.6","6285"
"1","false","","false","false","false","1","English","19.52","319033"
"1","false","","true","false","false","1","English","0.5","13420"
"1","false","","false","false","false","3","German","0.6","9526"
"1","false","","true","false","false","1","English","0.4","556504"
"1","false","","false","false","false","1","English","0.6","558810"
"1","false","","false","false","false","1","English","0.6","16248"
"1","false","","false","false","false","1","English","0.4","487299"
"1","false","","true","false","false","1","English","5.44","290961"
"1","false","","false","false","false","1","English","0.5","273394"
"1","false","","false","false","false","1","English","0.5","259989"
"1","false","","false","false","false","1","English","0.72","301195"
"1","false","","false","false","false","1","English","0.6","272403"
"1","false","","false","false","false","1","English","0.6","1852"
"1","false","","false","false","false","1","English","0.55","372184"
"1","false","","false","false","false","1","English","0.3","557350"
"1","false","","false","false","false","1","English","15.8","242620"
"1","false","","false","false","false","1","English","0.6","861"
"1","false","","false","false","false","1","English","0.6","19221"
"1","false","","false","false","false","1","English","0.5","498775"
"1","false","","false","false","false","1","English","0.5","298169"
"1","false","","false","false","false","1","English","0.5","282782"
"1","false","","false","false","false","1","English","0.81","391482"
"1","false","","false","false","false","11","T-Chinese","0.5","10242"
"1","false","","false","false","false","1","English","0.6","2843"
"1","false","","false","false","false","1","English","0.5","422256"
"1","false","","false","false","false","1","English","1.61","22141"
"1","false","","false","false","false","1","English","0.5","293683"
"1","false","","true","false","false","1","English","1.95","514360"
"1","false","","false","false","false","1","English","0.3","466019"
"1","false","","false","false","false","3","German","0.87","3058"
"1","false","","false","false","false","1","English","0.6","252530"
"1","false","","false","false","false","1","English","0.6","21150"
"1","false","","true","false","false","1","English","0.5","471119"
"1","false","","true","false","false","1","English","0.5","13942"
"1","false","","false","false","false","1","English","0.6","10249"
"1","false","","false","false","false","1","English","6.93","21725"
"1","false","","false","false","false","1","English","0.5","512180"
"1","false","","true","false","false","1","English","0.5","401174"
"1","false","","false","false","false","1","English","0.5","454543"
"1","false","","false","false","false","1","English","0.5","297178"
"1","false","","false","false","false","3","German","0.5","288996"
"1","false","","false","false","false","1","English","1.94","451048"
"1","false","","false","false","false","3","German","0.5","362020"
"1","false","","true","false","false","3","German","0.5","511080"
"1","false","","false","false","false","1","English","0.5","261918"
"1","false","","false","false","false","3","German","0.5","273193"
"1","false","","false","false","false","1","English","0.6","257016"
"1","false","","false","false","false","3","German","0.4","10048"
"1","false","","false","false","false","3","German","0.5","300472"
"1","false","","true","false","false","1","English","0.5","258205"
"1","false","","false","false","false","1","English","0.6","20734"
"1","false","","false","false","false","1","English","0.5","360292"
"1","false","","true","false","false","1","English","0.5","292474"
"1","false","","false","false","false","3","German","1.47","9995"
"1","false","","false","false","false","1","English","0.3","531062"
"1","false","","false","false","false","1","English","0.5","287215"
"1","false","","false","false","false","1","English","0.5","261502"
"1","false","","false","false","false","1","English","0.5","375573"
"1","false","","false","false","false","1","English","0.6","13797"
"1","false","","false","false","false","1","English","0.6","6338"
"1","false","","false","false","false","3","German","0.6","22515"
"1","false","","false","false","false","3","German","0.5","290978"
"1","false","","false","false","false","1","English","0.6","9311"
"1","false","","false","false","false","1","English","0.54","296240"
"1","false","","false","false","false","3","German","0.6","2536"
"1","false","","false","false","false","1","English","6.69","22247"
"1","false","","false","false","false","3","German","0.6","21002"
