"CURRENCYID","ISALTERED","ISFIRSTED","ISFOIL","ISPLAYSET","ISSIGNED","LANGUAGEID","LANGUAGENAME","PRICE","PRODUCTID"
"1","false","","true","false","false","1","English","0.26","319231"
"1","false","","false","false","false","1","English","0.11","258476"
"1","false","","false","false","false","1","English","0.19","415841"
"1","false","","false","false","false","1","English","0.12","400454"
"1","false","","false","false","false","1","English","0.12","360239"
"1","false","","true","false","false","1","English","1.45","531207"
"1","false","","true","false","false","1","English","2.1","451768"
"1","false","","false","false","false","1","English","0.15","513640"
"1","false","","false","false","false","1","English","0.19","242098"
"1","false","","false","false","false","1","English","0.12","432219"
"1","false","","false","false","false","1","English","0.18","2321"
"1","false","","false","false","false","1","English","0.19","11762"
"1","false","","false","false","false","1","English","0.11","20681"
"1","false","","false","false","false","1","English","0.12","379590"
"1","false","","false","false","false","1","English","0.19","296709"
"1","false","","false","false","false","1","English","0.18","10771"
"1","false","","false","false","false","1","English","0.11","364203"
"1","false","","true","false","false","1","English","0.46","443318"
"1","false","","false","false","false","1","English","0.96","291754"
"1","false","","false","false","false","6","S-Chinese","2.69","13430"
"1","false","","true","false","false","1","English","4.19","484524"
"1","false","","false","false","false","1","English","0.45","419336"
"1","false","","true","false","false","1","English","0.96","300349"
"1","false","","false","false","false","1","English","0.12","358726"
"1","false","","false","false","false","1","English","0.27","16248"
"1","false","","false","false","false","1","English","0.11","487299"
"1","false","","false","false","false","1","English","0.11","259989"
"1","false","","false","false","false","1","English","0.12","273394"
"1","false","","true","false","false","1","English","0.19","291952"
"1","false","","false","false","false","1","English","0.14","1852"
"1","false","","false","false","false","1","English","0.58","372184"
"1","false","","false","false","false","1","English","0.46","861"
"1","false","","false","false","false","1","English","0.19","19221"
"1","false","","false","false","false","1","English","2.88","398994"
"1","false","","false","false","false","1","English","0.18","498775"
"1","false","","false","false","false","1","English","0.12","298169"
"1","false","","false","false","false","1","English","0.19","282782"
"1","false","","false","false","false","1","English","0.34","391482"
"1","false","","false","false","false","1","English","30.71","11240"
"1","false","","false","false","false","1","English","0.15","293683"
"1","false","","false","false","false","5","Italian","0.19","13152"
"1","false","","true","false","false","1","English","0.18","355429"
"1","false","","true","false","false","1","English","5.18","514360"
"1","false","","false","false","false","1","English","0.19","252530"
"1","false","","true","false","false","1","English","0.58","471119"
"1","false","","false","false","false","1","English","0.18","10249"
"1","false","","false","false","false","1","English","0.11","512180"
"1","false","","true","false","false","1","English","0.19","401174"
"1","false","","false","false","false","1","English","0.12","297178"
"1","false","","false","false","false","1","English","1.91","451048"
"1","false","","false","false","false","1","English","0.27","319555"
"1","false","","false","false","false","1","English","0.11","257016"
"1","false","","false","false","false","1","English","26.71","13744"
"1","false","","true","false","false","1","English","0.27","21923"
"1","false","","true","false","false","1","English","0.26","266602"
"1","false","","true","false","false","1","English","0.37","242818"
"1","false","","false","false","false","1","English","0.12","360292"
"1","false","","false","false","false","1","English","0.09","531062"
"1","false","","false","false","false","1","English","0.19","287215"
"1","false","","true","false","false","1","English","0.19","301809"
"1","false","","false","false","false","1","English","0.35","261502"
"1","false","","false","false","false","1","English","0.11","375573"
"1","false","","false","false","false","1","English","0.76","19743"
"1","false","","false","false","false","1","English","9.57","19637"
"1","false","","false","false","false","1","English","0.19","6338"
"1","false","","false","false","false","1","English","1.88","503155"
"1","false","","false","false","false","1","English","0.95","365247"
"1","false","","true","false","false","1","English","7.49","242243"
"1","false","","false","false","false","1","English","0.27","9311"
"1","false","","false","false","false","1","English","0.45","21619"
"1","false","","false","false","false","1","English","0.19","250495"
"1","false","","false","false","false","1","English","0.46","296240"
"1","false","","true","false","false","7","Japanese","1.35","19940"
"1","false","","true","false","false","1","English","0.76","283555"
"1","false","","true","false","false","1","English","57.46","485984"
"1","false","","false","false","false","1","English","0.19","392057"
"1","false","","false","false","false","1","English","0.27","484379"
"1","false","","true","false","false","1","English","0.27","358402"
"1","false","","false","false","false","9","Russian","0.35","284442"
"1","false","","false","false","false","1","English","0.27","269430"
"1","false","","false","false","false","1","English","0.12","14266"
"1","false","","false","false","false","1","English","0.18","8320"
"1","false","","false","false","false","1","English","0.15","473894"
"1","false","","true","false","false","1","English","2.65","445353"
"1","false","","false","false","false","1","English","0.11","17761"
"1","false","","false","false","false","1","English","0.12","372078"
"1","false","","false","false","false","1","English","0.11","471859"
"1","false","","false","false","false","1","English","0.27","358779"
"1","false","","false","false","false","1","English","0.19","417301"
"1","false","","false","false","false","1","English","0.12","273288"
"1","false","","false","false","false","1","English","0.12","285755"
"1","false","","true","false","false","1","English","4.04","319806"
"1","false","","true","false","false","1","English","0.19","291846"
"1","false","","false","false","false","1","English","0.15","284764"
"1","false","","true","false","false","1","English","0.19","262063"
"1","false","","false","false","false","1","English","0.15","13275"
"1","false","","true","false","false","1","English","0.27","374364"
"1","false","","true","false","false","9","Russian","0.57","289179"
"1","false","","false","false","false","1","English","0.18","372237"
"1","false","","false","false","false","1","English","0.19","261971"
"1","false","","false","false","false","1","English","0.12","401029"
"1","false","","false","false","false","1","English","0.45","361752"
"1","false","","true","false","false","1","English","0.19","366852"
"1","false","","false","false","false","1","English","0.11","510145"
"1","false","","false","false","false","1","English","0.27","21097"
"1","false","","true","false","false","1","English","0.19","283033"
"1","false","","false","false","false","1","English","0.11","22610"
"1","false","","true","false","false","1","English","0.46","355376"
"1","false","","false","false","false","1","English","0.11","297231"
"1","false","","false","false","false","7","Japanese","0.19","269323"
"1","false","","false","false","false","1","English","0.11","293736"
"1","false","","true","false","false","1","English","0.35","298836"
"1","false","","false","false","false","1","English","0.11","19115"
"1","false","","true","false","false","1","English","1.35","313807"
"1","false","","false","false","false","1","English","0.11","269952"
"1","false","","false","false","false","1","English","0.11","496165"
"1","false","","true","false","false","1","English","0.19","292837"
"1","false","","false","false","false","1","English","0.12","262962"
"1","false","","false","false","false","1","English","0.11","364256"
"1","false","","true","false","false","1","English","1.87","430904"
