"CURRENCYID","ISALTERED","ISFIRSTED","ISFOIL","ISPLAYSET","ISSIGNED","LANGUAGEID","LANGUAGENAME","PRICE","PRODUCTID"
"1","false","","false","true","false","1","English","0.29","527590"
"1","false","","false","false","false","1","English","0.15","258476"
"1","false","","false","false","false","1","English","0.15","415841"
"1","false","","true","false","false","1","English","0.75","290439"
"1","false","","false","false","false","1","English","0.15","400454"
"1","false","","true","false","false","1","English","0.49","17906"
"1","false","","false","true","false","1","English","0.25","486384"
"1","false","","true","false","false","1","English","0.49","2519"
"1","false","","true","false","false","1","English","6.99","265611"
"1","false","","true","false","false","1","English","1.99","451768"
"1","false","","false","false","false","1","English","0.15","513640"
"1","false","","false","false","false","1","English","0.15","248044"
"1","false","","false","false","false","1","English","4.99","529027"
"1","false","","false","false","false","1","English","0.15","429246"
"1","false","","true","false","false","1","English","1.49","12951"
"1","false","","false","false","false","1","English","0.15","2321"
"1","false","","true","false","false","1","English","1.49","21870"
"1","false","","false","false","false","1","English","0.15","11762"
"1","false","","false","false","false","1","English","0.15","20681"
"1","false","","false","false","false","1","English","3.99","301664"
"1","false","","true","false","false","1","English","1.99","11960"
"1","false","","false","false","false","1","English","0.19","296709"
"1","false","","false","false","false","1","English","0.15","10771"
"1","false","","false","false","false","1","English","0.25","21672"
"1","false","","false","false","false","1","English","0.15","420796"
"1","false","","true","false","false","1","English","0.19","543621"
"1","false","","false","false","false","1","English","0.15","294205"
"1","false","","false","false","false","1","English","0.25","291754"
"1","false","","false","false","false","1","English","0.49","6285"
"1","false","","false","false","false","1","English","0.49","250548"
"1","false","","false","false","false","1","English","0.35","558810"
"1","false","","false","false","false","1","English","0.15","259989"
"1","false","","true","false","false","1","English","0.19","291952"
"1","false","","false","false","false","1","English","0.15","1852"
"1","false","","false","false","false","1","English","0.15","498775"
"1","false","","true","false","false","1","English","0.15","294872"
"1","false","","false","false","false","1","English","0.15","391482"
"1","false","","false","false","false","1","English","0.49","240638"
"1","false","","true","false","false","1","English","0.75","327159"
"1","false","","false","false","false","1","English","0.25","2843"
"1","false","","false","false","false","1","English","0.19","422256"
"1","false","","false","true","false","1","English","0.49","379197"
"1","false","","false","false","false","1","English","0.19","293683"
"1","false","","true","false","false","1","English","0.15","355429"
"1","false","","true","false","false","1","English","2.99","514360"
"1","false","","false","false","false","1","English","0.49","21150"
"1","false","","true","false","false","1","English","0.49","471119"
"1","false","","false","false","false","1","English","0.15","10249"
"1","false","","true","false","false","1","English","0.35","453228"
"1","false","","true","false","false","1","English","0.25","401174"
"1","false","","false","false","false","1","English","0.25","454543"
"1","false","","true","false","false","1","English","0.99","468199"
"1","false","","true","false","false","1","English","0.49","2050"
"1","false","","false","false","false","1","English","0.15","257016"
"1","false","","true","false","false","7","Japanese","3.99","245268"
"1","false","","true","false","false","1","English","0.49","254710"
"1","false","","false","false","false","1","English","0.15","360292"
