"CURRENCYID","ISALTERED","ISFIRSTED","ISFOIL","ISPLAYSET","ISSIGNED","LANGUAGEID","LANGUAGENAME","PRICE","PRODUCTID"
"1","false","","false","false","false","3","German","0.55","11039"
"1","false","","false","false","false","1","English","0.15","258476"
"1","false","","false","false","false","1","English","0.55","415841"
"1","false","","false","false","false","1","English","0.15","400454"
"1","false","","false","false","false","1","English","0.85","513640"
"1","false","","false","false","false","3","German","0.75","9057"
"1","false","","false","false","false","2","French","0.2","22548"
"1","false","","false","false","false","1","English","0.55","248044"
"1","false","","false","false","false","1","English","0.49","2321"
"1","false","","false","false","false","1","English","0.15","20681"
"1","false","","false","false","false","1","English","3.79","301664"
"1","false","","true","false","false","1","English","0.99","283971"
"1","false","","false","false","false","3","German","11.5","6084"
"1","false","","false","false","false","1","English","0.15","296709"
"1","false","","false","false","false","1","English","0.49","10771"
"1","false","","false","false","false","1","English","0.15","21672"
"1","false","","false","false","false","1","English","0.55","420796"
"1","false","","true","false","false","1","English","0.65","543621"
"1","false","","false","false","false","3","German","1.65","319823"
"1","false","","false","false","false","1","English","0.15","294205"
"1","false","","false","false","false","1","English","1.05","291754"
"1","false","","false","false","false","3","German","1.55","16516"
"1","false","","false","false","false","1","English","0.55","6285"
"1","false","","true","false","false","1","English","2.79","300349"
"1","false","","false","false","false","1","English","1.39","558810"
"1","false","","false","false","false","3","German","0.55","18967"
"1","false","","false","false","false","1","English","0.15","259989"
"1","false","","false","false","false","1","English","1.89","272403"
"1","false","","false","false","false","1","English","0.15","1852"
"1","false","","true","false","false","1","English","0.59","294872"
"1","false","","false","false","false","1","English","0.75","391482"
"1","false","","false","false","false","1","English","1.55","240638"
"1","false","","false","false","false","1","English","0.49","2843"
"1","false","","false","false","false","1","English","0.85","422256"
"1","false","","false","false","false","1","English","0.2","293683"
"1","false","","true","false","false","1","English","0.59","355429"
"1","false","","false","false","false","5","Italian","115","300081"
"1","false","","true","false","false","1","English","0.9","471119"
"1","false","","false","false","false","1","English","0.49","10249"
"1","false","","true","false","false","1","English","0.69","453228"
"1","false","","false","false","false","5","Italian","0.2","10648"
"1","false","","true","false","false","1","English","0.59","401174"
"1","false","","false","false","false","1","English","0.65","454543"
"1","false","","true","false","false","1","English","3.9","468199"
"1","false","","true","false","false","1","English","0.49","2050"
"1","false","","false","false","false","1","English","1.99","12753"
"1","false","","false","false","false","1","English","0.15","257016"
"1","false","","true","false","false","1","English","0.4","254710"
"1","false","","false","false","false","1","English","0.15","360292"
"1","false","","true","false","false","1","English","1.29","292474"
"1","false","","false","false","false","1","English","0.15","531062"
"1","false","","true","false","false","1","English","0.59","432364"
"1","false","","false","false","false","1","English","0.2","287215"
"1","false","","false","false","false","1","English","0.85","261502"
"1","false","","false","false","false","1","English","0.15","375573"
"1","false","","false","false","false","1","English","7.9","19637"
"1","false","","false","false","false","1","English","2.25","365247"
"1","false","","false","false","false","3","German","1.55","554"
"1","false","","false","false","false","1","English","0.55","9311"
"1","false","","false","false","false","3","German","3.19","476719"
"1","false","","false","false","false","4","Spanish","0.35","288994"
"1","false","","false","false","false","1","English","0.59","297753"
"1","false","","false","false","false","1","English","0.89","392057"
"1","false","","false","false","false","1","English","1.69","242151"
"1","false","","false","false","false","3","German","0.49","2173"
"1","false","","false","false","false","1","English","0.25","484379"
