"CURRENCYID","ISALTERED","ISFIRSTED","ISFOIL","ISPLAYSET","ISSIGNED","LANGUAGEID","LANGUAGENAME","PRICE","PRODUCTID"
"1","false","","true","false","false","1","English","0.99","319231"
"1","false","","false","false","false","5","Italian","0.99","262370"
"1","false","","false","false","false","5","Italian","0.23","291162"
"1","false","","false","false","false","5","Italian","0.49","364133"
"1","false","","false","false","false","5","Italian","0.49","9188"
"1","false","","true","false","false","5","Italian","0.99","269505"
"1","false","","true","false","false","1","English","2.99","12951"
"1","false","","false","false","false","5","Italian","0.24","495679"
"1","false","","false","false","false","1","English","3.99","301664"
"1","false","","false","false","false","1","English","12.99","366185"
"1","false","","true","false","false","5","Italian","0.49","257091"
"1","false","","false","false","false","5","Italian","0.49","11170"
"1","false","","true","false","false","5","Italian","0.99","287396"
"1","false","","false","false","false","5","Italian","0.49","13674"
"1","false","","false","false","false","1","English","1.99","291754"
"1","false","","false","false","false","1","English","24.99","319033"
"1","false","","false","false","false","1","English","0.99","12231"
"1","false","","true","false","false","5","Italian","0.99","242695"
"1","false","","true","false","false","5","Italian","0.49","455193"
"1","false","","true","false","false","5","Italian","0.99","267523"
"1","false","","true","false","false","5","Italian","0.99","266010"
"1","false","","false","false","false","1","English","0.49","487299"
"1","false","","false","false","false","1","English","11.99","372131"
"1","false","","false","false","false","1","English","1.99","301195"
"1","false","","false","false","false","5","Italian","0.99","19151"
"1","false","","false","false","false","5","Italian","1.49","403879"
"1","false","","true","false","false","1","English","2.99","262116"
"1","false","","false","false","false","5","Italian","0.99","453013"
"1","false","","true","false","false","5","Italian","3.99","535623"
"1","false","","true","false","false","5","Italian","1.99","284370"
"1","false","","false","false","false","1","English","0.49","282782"
"1","false","","false","false","false","5","Italian","0.49","368619"
"1","false","","true","false","false","5","Italian","0.99","252605"
"1","false","","true","false","false","1","English","2.49","327159"
"1","false","","true","false","false","5","Italian","0.49","531137"
"1","false","","false","false","false","5","Italian","0.24","242028"
"1","false","","false","false","false","5","Italian","0.49","470329"
"1","false","","false","false","false","5","Italian","1.99","470904"
"1","false","","true","false","false","5","Italian","1.99","271487"
"1","false","","false","false","false","1","English","0.24","512180"
"1","false","","false","false","false","1","English","0.75","454543"
"1","false","","false","false","false","5","Italian","0.49","400384"
"1","false","","true","false","false","1","English","4.99","468199"
"1","false","","false","false","false","5","Italian","0.24","258406"
"1","false","","false","false","false","1","English","0.49","261918"
"1","false","","false","false","false","5","Italian","0.49","2251"
"1","false","","false","false","false","1","English","0.49","319555"
"1","false","","false","false","false","5","Italian","0.49","289180"
"1","false","","true","false","false","5","Italian","0.49","360314"
"1","false","","false","false","false","5","Italian","0.49","432149"
"1","false","","true","false","false","1","English","0.75","366905"
"1","false","","true","false","false","5","Italian","0.49","355412"
"1","false","","false","false","false","5","Italian","0.49","378582"
"1","false","","true","false","false","5","Italian","1.99","468129"
"1","false","","true","false","false","1","English","0.49","432364"
"1","false","","false","false","false","2","French","0.99","22601"
"1","false","","false","false","false","5","Italian","0.49","451553"
"1","false","","false","false","false","5","Italian","0.24","245939"
"1","false","","true","false","false","5","Italian","0.99","21853"
"1","false","","false","false","false","5","Italian","1.99","391987"
"1","false","","true","false","false","5","Italian","0.49","293289"
"1","false","","false","false","false","5","Italian","1.99","261432"
"1","false","","false","false","false","1","English","4.99","548431"
"1","false","","false","false","false","6","S-Chinese","2.49","16456"
"1","false","","false","false","false","1","English","0.24","375573"
"1","false","","false","false","false","5","Italian","0.99","19567"
"1","false","","true","false","false","5","Italian","0.75","495930"
"1","false","","false","false","false","5","Italian","0.24","289233"
"1","false","","false","false","false","5","Italian","0.49","8144"
"1","false","","false","false","false","5","Italian","0.24","301541"
"1","false","","true","false","false","5","Italian","0.99","261524"
"1","false","","false","false","false","5","Italian","0.49","372530"
