"CURRENCYID","ISALTERED","ISFIRSTED","ISFOIL","ISPLAYSET","ISSIGNED","LANGUAGEID","LANGUAGENAME","PRICE","PRODUCTID"
"1","false","","true","false","false","1","English","0.49","18897"
"1","false","","false","false","false","4","Spanish","0.2","11559"
"1","false","","false","false","false","4","Spanish","3.49","298488"
"1","false","","false","false","false","1","English","0.99","339"
"1","false","","false","false","false","1","English","0.1","242098"
"1","false","","false","false","false","1","English","0.25","432219"
"1","false","","false","false","false","1","English","0.49","429246"
"1","false","","true","false","false","1","English","1.99","21870"
"1","false","","false","false","false","1","English","9.99","366185"
"1","false","","false","false","false","1","English","0.35","296709"
"1","false","","false","false","false","7","Japanese","3.99","242097"
"1","false","","false","false","false","1","English","0.25","364203"
"1","false","","true","false","false","1","English","1.49","443318"
"1","false","","false","false","false","1","English","0.1","294205"
"1","false","","false","false","false","4","Spanish","0.2","18027"
"1","false","","false","false","false","1","English","0.99","291754"
"1","false","","false","false","false","2","French","0.55","267802"
"1","false","","false","false","false","4","Spanish","0.35","378396"
"1","false","","false","false","false","1","English","12.99","319033"
"1","false","","false","false","false","1","English","0.6","12231"
"1","false","","false","false","false","1","English","1.49","419336"
"1","false","","true","false","false","1","English","1.49","300349"
"1","false","","false","false","false","1","English","0.1","358726"
"1","false","","false","false","false","1","English","0.15","16248"
"1","false","","false","false","false","4","Spanish","10.99","12081"
"1","false","","false","false","false","1","English","0.1","273394"
"1","false","","true","false","false","7","Japanese","9.99","254240"
"1","false","","false","false","false","1","English","8.99","372131"
"1","false","","false","false","false","4","Spanish","0.75","13072"
"1","false","","false","false","false","1","English","0.99","301195"
"1","false","","false","false","false","1","English","0.75","372184"
"1","false","","true","false","false","4","Spanish","0.75","242615"
"1","false","","false","false","false","4","Spanish","0.3","9055"
"1","false","","false","false","false","1","English","9.99","242620"
"1","false","","false","false","false","4","Spanish","0.5","256760"
"1","false","","false","false","false","1","English","0.4","861"
"1","false","","true","false","false","1","English","1.99","262116"
"1","false","","false","false","false","2","French","0.3","259821"
"1","false","","true","false","false","1","English","0.5","16446"
"1","false","","false","false","false","1","English","0.15","298169"
"1","false","","false","false","false","1","English","0.15","282782"
"1","false","","false","false","false","1","English","0.2","391482"
"1","false","","false","false","false","4","Spanish","0.2","8064"
"1","false","","false","false","false","4","Spanish","0.6","273138"
"1","false","","false","false","false","1","English","0.15","422256"
"1","false","","false","false","false","4","Spanish","0.3","319874"
"1","false","","false","false","false","1","English","1.99","22141"
"1","false","","false","false","false","4","Spanish","0.5","3578"
"1","false","","false","false","false","1","English","0.75","266404"
"1","false","","false","false","false","1","English","0.15","293683"
"1","false","","false","false","false","1","English","0.49","466019"
"1","false","","false","false","false","1","English","0.49","252530"
"1","false","","false","false","false","1","English","0.49","21150"
"1","false","","false","false","false","7","Japanese","1.49","16194"
"1","false","","false","false","false","1","English","0.15","454543"
"1","false","","false","false","false","4","Spanish","0.75","251336"
"1","false","","false","false","false","1","English","1.99","12753"
"1","false","","false","false","false","1","English","0.3","319555"
"1","false","","true","false","false","7","Japanese","3.99","245268"
"1","false","","false","false","false","4","Spanish","1.49","14063"
"1","false","","false","false","false","4","Spanish","0.25","289100"
"1","false","","false","false","false","4","Spanish","13.99","18965"
"1","false","","true","false","false","1","English","0.75","258205"
"1","false","","false","false","false","4","Spanish","2.99","10568"
"1","false","","false","false","false","7","Japanese","0.75","8841"
"1","false","","false","false","false","1","English","0.3","287215"
"1","false","","false","false","false","1","English","0.1","375573"
"1","false","","false","false","false","1","English","0.99","13797"
"1","false","","false","false","false","1","English","0.75","19743"
"1","false","","false","false","false","1","English","3.99","12806"
"1","false","","false","false","false","4","Spanish","0.6","251389"
"1","false","","false","false","false","1","English","9.99","19637"
"1","false","","false","false","false","1","English","0.25","6338"
"1","false","","true","false","false","2","French","0.99","265549"
"1","false","","false","false","false","4","Spanish","0.05","266670"
"1","false","","false","false","false","4","Spanish","1.25","13488"
"1","false","","false","false","false","4","Spanish","0.49","19540"
"1","false","","false","false","false","1","English","0.49","10824"
"1","false","","false","false","false","4","Spanish","0.75","288994"
"1","false","","true","false","false","1","English","0.4","68"
"1","false","","false","false","false","4","Spanish","0.3","250398"
"1","false","","false","false","false","1","English","1.49","22247"
"1","false","","false","false","false","4","Spanish","0.4","431494"
"1","false","","false","false","false","4","Spanish","1.49","292489"
"1","false","","true","false","false","1","English","13.99","11385"
"1","false","","false","false","false","1","English","19.99","7329"
"1","false","","false","false","false","1","English","0.25","392057"
"1","false","","false","false","false","1","English","4.99","254459"
"1","false","","false","false","false","1","English","0.99","484379"
"1","false","","false","false","false","2","French","2.49","254450"
"1","false","","false","false","false","1","English","0.49","21256"
"1","false","","false","false","false","1","English","0.2","269430"
"1","false","","false","false","false","7","Japanese","0.99","19167"
"1","false","","false","false","false","1","English","1.25","2790"
"1","false","","false","false","false","1","English","0.2","14266"
